account_id,customer_id,account_type,open_date,credit_limit,status,branch_code
ACC-00000001,CUST-1000001,checking,2024-06-09,0,active,BR-134
ACC-00000002,CUST-1000002,loan,2019-12-12,15031,active,BR-113
ACC-00000003,CUST-1000003,credit_card,2019-03-19,15536,closed,BR-179
ACC-00000004,CUST-1000004,savings,2025-04-22,0,active,BR-194
ACC-00000005,CUST-1000005,checking,2021-05-04,0,closed,BR-176
ACC-00000006,CUST-1000006,checking,2021-01-30,0,active,BR-172
ACC-00000007,CUST-1000007,checking,2020-11-24,0,active,BR-155
ACC-00000008,CUST-1000008,credit_card,2020-03-09,1446,closed,
ACC-00000009,CUST-1000009,savings,2025-04-07,0,active,BR-156
ACC-00000011,CUST-1000011,checking,2024-10-03,0,active,BR-106
ACC-00000012,CUST-1000012,loan,2025-04-20,49555,dormant,
ACC-00000013,CUST-1000013,credit_card,2023-08-22,18618,suspended,BR-131
ACC-00000015,CUST-1000015,checking,2024-01-09,0,active,BR-147
ACC-00000016,CUST-1000016,checking,2022-08-03,0,suspended,BR-141
ACC-00000017,CUST-1000017,checking,2019-04-09,0,active,BR-113
ACC-00000019,CUST-1000019,savings,2019-10-19,0,suspended,BR-168
ACC-00000020,CUST-1000020,checking,2020-11-10,0,active,BR-189
ACC-00000023,CUST-1000023,checking,2024-02-14,0,suspended,BR-111
ACC-00000025,CUST-1000025,savings,2023-10-10,0,suspended,
ACC-00000031,CUST-1000031,savings,2022-07-27,0,active,BR-148
ACC-00000032,CUST-1000032,checking,2020-11-15,0,active,BR-169
ACC-00000034,CUST-1000034,loan,2024-01-05,32480,active,BR-184
ACC-00000037,CUST-1000037,checking,2019-01-21,0,active,
ACC-00000039,CUST-1000039,savings,2025-11-08,0,active,
ACC-00000042,CUST-1000042,savings,2022-08-06,0,active,BR-163
ACC-00000043,CUST-1000043,checking,2021-11-23,0,active,BR-148
ACC-00000046,CUST-1000046,savings,2020-10-30,0,active,BR-185
ACC-00000047,CUST-1000047,checking,2025-06-30,0,active,
ACC-00000048,CUST-1000048,checking,2021-11-11,0,active,BR-178
ACC-00000049,CUST-1000049,savings,2019-11-14,0,closed,BR-191
ACC-00000051,CUST-1000051,loan,2022-03-26,12151,closed,
ACC-00000053,CUST-1000053,loan,2022-01-20,45739,suspended,
ACC-00000056,CUST-1000056,loan,2021-04-01,48448,active,BR-105
ACC-00000058,CUST-1000058,checking,2019-05-15,0,active,BR-149
ACC-00000060,CUST-1000060,checking,2022-11-28,0,active,BR-110
ACC-00000061,CUST-1000061,checking,2023-07-25,0,suspended,BR-173
ACC-00000063,CUST-1000063,credit_card,2022-03-22,48327,active,BR-140
ACC-00000064,CUST-1000064,checking,2019-09-02,0,active,BR-184
ACC-00000065,CUST-1000065,checking,2023-09-12,0,active,BR-108
ACC-00000067,CUST-1000067,checking,2026-01-20,0,suspended,BR-181
ACC-00000069,CUST-1000069,checking,2024-04-05,0,active,BR-101
ACC-00000070,CUST-1000070,loan,2022-01-28,36303,active,BR-102
