account_id,balance_date,available_balance,ledger_balance,overdraft_count
ACC-00000001,2024-06-09,1211.73,1225.03,0
ACC-00000001,2024-07-31,1608.39,1654.98,0
ACC-00000001,2024-10-31,2855.17,2929.57,0
ACC-00000001,2024-11-30,2194.89,2225.79,0
ACC-00000001,2024-12-31,1856.42,1898.29,0
ACC-00000001,2025-01-31,2314.52,2342.21,0
ACC-00000001,2025-03-31,1986.95,2003.2,0
ACC-00000001,2025-05-31,1431.87,1505.93,0
ACC-00000001,2025-06-30,1466.08,1538.26,0
ACC-00000001,2025-08-31,1646.11,1648.76,0
ACC-00000002,2020-03-31,-17124.93,-17088.02,0
ACC-00000002,2020-04-30,-16772.14,-16731.68,0
ACC-00000002,2020-05-31,-15753.19,-15719.54,0
ACC-00000002,2020-06-30,-14371.36,-14347.28,0
ACC-00000002,2020-07-31,-14537.6,-14496.92,0
ACC-00000002,2020-09-30,-14860.26,-14762.88,0
ACC-00000002,2020-11-30,-14110.83,-14079.82,0
ACC-00000002,2020-12-31,-13880.11,-13842.39,0
ACC-00000002,2021-01-31,-14491.35,-14404.47,0
ACC-00000002,2021-03-31,-14925.9,-14870.92,0
ACC-00000002,2021-04-30,-14507.1,-14488.02,0
ACC-00000002,2021-07-31,-14582.92,-14516.7,0
ACC-00000002,2022-02-28,-14641.89,-14584.99,0
ACC-00000002,2022-03-31,-14961.45,-14924.3,0
ACC-00000002,2022-04-30,-14628.83,-14625.19,0
ACC-00000002,2022-05-31,-14998.28,-14960.46,0
ACC-00000002,2022-07-31,-15398.71,-15392.78,0
ACC-00000002,2022-09-30,-15252.8,-15247.39,0
ACC-00000002,2022-10-31,-14841.8,-14811.79,0
ACC-00000002,2022-11-30,-13950.45,-13924.78,0
ACC-00000002,2022-12-31,-14224.6,-14191.34,0
ACC-00000002,2023-01-31,-13740.3,-13700.29,0
ACC-00000002,2023-02-28,-13172.97,-13147.63,0
ACC-00000002,2023-04-30,-11537.45,-11525.65,0
ACC-00000002,2023-07-31,-10519.36,-10465.93,0
ACC-00000002,2023-08-31,-10216.16,-10153.76,0
ACC-00000002,2023-11-30,-9319.2,-9288.84,0
ACC-00000002,2023-12-31,-8871.95,-8859.38,0
ACC-00000002,2024-04-30,-8869.01,-8777.32,0
ACC-00000002,2024-06-30,-8743.25,-8715.48,0
ACC-00000002,2024-07-31,-9076.55,-9070.22,0
ACC-00000002,2024-10-31,-9712.89,-9712.48,0
ACC-00000002,2024-12-31,-10001.67,-9971.57,0
ACC-00000002,2025-04-30,-9587.98,-9556.62,0
ACC-00000002,2025-05-31,-9540.94,-9497.96,0
ACC-00000002,2025-08-31,-9389.03,-9303.21,0
ACC-00000002,2025-11-30,-9542.96,-9541.59,0
ACC-00000003,2019-03-19,-5893.32,-5856.65,0
ACC-00000003,2019-05-31,-5545.0,-5510.02,0
ACC-00000003,2019-06-30,-6243.22,-6213.51,0
ACC-00000003,2019-09-30,-4744.92,-4660.78,0
ACC-00000003,2019-12-31,-5289.73,-5266.49,0
ACC-00000003,2020-01-31,-5981.59,-5920.63,0
ACC-00000003,2020-03-31,-5856.6,-5808.34,0
ACC-00000003,2020-04-30,-5887.12,-5881.72,0
ACC-00000003,2020-08-31,-6329.12,-6315.45,0
ACC-00000003,2020-09-30,-6291.11,-6244.98,0
ACC-00000003,2020-10-31,-6023.97,-5956.67,0
ACC-00000003,2020-12-31,-4401.91,-4360.74,0
