transaction_id,account_id,transaction_date,transaction_time,amount,transaction_type,merchant_category,merchant_name,channel
TXN-0000000001,ACC-00000001,2025-02-13,19:24:14,-64.31,purchase,utilities,Mcguire-Davis,online
TXN-0000000004,ACC-00000001,2024-12-17,03:16:10,72.44,transfer,,,mobile
TXN-0000000008,ACC-00000001,2025-06-03,22:02:10,-14.37,purchase,healthcare,Nelson-King,branch
TXN-0000000012,ACC-00000002,2023-11-30,02:35:48,76.09,payment,,,atm
TXN-0000000015,ACC-00000002,2021-04-20,14:09:35,-10.21,purchase,travel,"Lawrence, Wolf and Carlson",online
TXN-0000000016,ACC-00000002,2021-09-26,19:38:52,124.91,payment,,,mobile
TXN-0000000018,ACC-00000002,2025-08-15,21:28:39,-28.18,fee,,,online
TXN-0000000020,ACC-00000003,2025-12-18,19:54:45,-21.76,purchase,fuel,"Raymond, Little and Mullins",online
TXN-0000000021,ACC-00000003,2023-11-11,12:08:53,-36.78,purchase,entertainment,Andrews Group,mobile
TXN-0000000023,ACC-00000003,2022-05-13,00:33:46,-15.67,purchase,retail,Lopez-Williams,mobile
TXN-0000000024,ACC-00000003,2023-12-26,15:37:43,19.71,payment,,,online
TXN-0000000025,ACC-00000004,2025-12-14,19:05:18,35.62,deposit,,,phone
TXN-0000000027,ACC-00000004,2026-01-10,19:59:09,-0.68,purchase,entertainment,Vasquez-Ray,mobile
TXN-0000000028,ACC-00000004,2025-12-07,11:03:28,-7.43,withdrawal,,,mobile
TXN-0000000030,ACC-00000004,2025-08-21,23:31:50,-16.4,purchase,retail,Mcknight Inc,mobile
TXN-0000000031,ACC-00000004,2025-04-27,11:37:09,-18.45,purchase,utilities,Obrien-Gibbs,online
TXN-0000000032,ACC-00000004,2025-11-09,23:13:12,-125.02,withdrawal,,,online
TXN-0000000034,ACC-00000005,2024-01-30,11:00:09,-7.11,purchase,retail,Torres-Oliver,online
TXN-0000000037,ACC-00000005,2023-11-13,16:12:16,-1.46,purchase,restaurant,Baker Inc,branch
TXN-0000000039,ACC-00000006,2024-11-08,03:49:16,-9.72,withdrawal,,,online
TXN-0000000040,ACC-00000006,2022-03-10,20:12:03,21.8,transfer,,,online
TXN-0000000044,ACC-00000006,2025-10-19,07:11:34,-90.64,purchase,travel,Bradshaw Ltd,online
TXN-0000000046,ACC-00000006,2022-08-27,07:28:39,-81.58,purchase,retail,"Hernandez, Baker and Thomas",mobile
TXN-0000000048,ACC-00000006,2021-04-29,10:55:26,-6.9,purchase,retail,Larson-Holloway,online
TXN-0000000054,ACC-00000007,2024-11-13,13:20:12,-80.73,withdrawal,,,online
TXN-0000000056,ACC-00000007,2022-06-28,08:18:43,31.5,transfer,,,atm
TXN-0000000058,ACC-00000008,2025-03-16,18:38:35,-118.34,purchase,travel,Johnson-Perez,phone
TXN-0000000059,ACC-00000008,2023-05-23,12:51:31,-129.19,purchase,entertainment,"Matthews, Smith and Hubbard",branch
TXN-0000000060,ACC-00000008,2023-12-01,17:35:19,-7.0,interest,,,atm
TXN-0000000064,ACC-00000009,2025-05-23,13:07:43,-25.53,purchase,restaurant,"Olsen, Costa and Harrison",atm
TXN-0000000065,ACC-00000009,2025-07-21,10:12:15,27.67,transfer,,,mobile
TXN-0000000066,ACC-00000009,2025-10-05,22:42:38,-76.87,withdrawal,,,mobile
TXN-0000000067,ACC-00000009,2025-10-05,22:47:07,-79.6,purchase,entertainment,"Garcia, Martin and Jenkins",mobile
TXN-0000000068,ACC-00000009,2025-11-17,16:36:47,-6.37,withdrawal,,,atm
TXN-0000000069,ACC-00000009,2025-05-18,18:13:28,-3.5,purchase,grocery,"Landry, Cervantes and Pierce",atm
TXN-0000000070,ACC-00000009,2026-01-14,17:42:42,136.14,deposit,,,online
TXN-0000000085,ACC-00000011,2025-08-23,14:12:29,-12.24,purchase,retail,"Carter, Thornton and Perry",online
TXN-0000000088,ACC-00000011,2025-01-21,03:59:40,-33.35,purchase,restaurant,"Romero, Suarez and Shields",mobile
TXN-0000000089,ACC-00000011,2025-08-24,22:40:14,-4.58,withdrawal,,,atm
TXN-0000000092,ACC-00000011,2025-03-24,20:49:44,401.41,deposit,,,mobile
TXN-0000000094,ACC-00000012,2025-12-15,11:49:45,-4.38,purchase,travel,"Duarte, Burns and Hernandez",mobile
TXN-0000000095,ACC-00000013,2024-03-19,08:53:29,52.67,payment,,,online
TXN-0000000096,ACC-00000013,2025-10-08,14:33:47,-38.94,purchase,fuel,Cook-Hines,branch
TXN-0000000097,ACC-00000013,2025-04-22,10:01:19,-3.9,purchase,healthcare,Cantu-Kane,mobile
TXN-0000000098,ACC-00000013,2024-03-28,13:03:20,190.97,payment,,,atm
TXN-0000000100,ACC-00000013,2025-05-11,01:48:26,-61.78,purchase,entertainment,"Kennedy, Mcintyre and James",online
TXN-0000000101,ACC-00000013,2026-01-26,01:13:36,-9.28,interest,,,phone
TXN-0000000102,ACC-00000013,2024-05-07,12:20:28,-74.19,purchase,grocery,"Pollard, Simpson and Johnson",mobile
TXN-0000000111,ACC-00000015,2025-04-30,07:14:00,-5.57,purchase,retail,"Davis, Good and Hodges",online
TXN-0000000114,ACC-00000015,2025-03-04,16:41:49,-17.93,purchase,utilities,Nguyen Inc,online
TXN-0000000115,ACC-00000016,2024-01-26,05:03:09,-606.18,purchase,healthcare,Brooks-Thomas,mobile
TXN-0000000116,ACC-00000016,2025-08-20,23:11:47,-10.95,purchase,travel,Knight-Sparks,mobile
TXN-0000000119,ACC-00000016,2023-01-04,22:38:21,-34.49,purchase,entertainment,"Allen, Durham and Thomas",mobile
TXN-0000000120,ACC-00000016,2023-01-21,06:19:28,-2.2,purchase,fuel,"King, Scott and Smith",online
TXN-0000000127,ACC-00000017,2021-10-19,14:27:28,-38.35,purchase,entertainment,Bryant-Turner,mobile
TXN-0000000128,ACC-00000017,2023-02-26,23:28:40,-7.75,purchase,entertainment,Rodriguez-James,phone
TXN-0000000130,ACC-00000017,2020-10-16,19:19:26,-2.49,withdrawal,,,mobile
TXN-0000000146,ACC-00000019,2024-04-08,09:14:26,-40.98,withdrawal,,,mobile
TXN-0000000149,ACC-00000019,2023-10-20,21:10:07,425.02,transfer,,,mobile
TXN-0000000150,ACC-00000020,2022-03-15,16:53:51,-3.48,purchase,travel,"Walter, Diaz and Shaw",online
TXN-0000000151,ACC-00000020,2021-09-18,09:07:34,-4.08,purchase,utilities,Scott Group,atm
TXN-0000000153,ACC-00000020,2021-10-15,10:33:07,-118.67,withdrawal,,,mobile
TXN-0000000154,ACC-00000020,2022-04-26,13:49:08,15.96,deposit,,,mobile
TXN-0000000156,ACC-00000020,2023-06-04,01:55:37,-13.57,purchase,restaurant,"Craig, Sanders and Singleton",online
TXN-0000000157,ACC-00000020,2021-03-23,09:19:09,34.05,transfer,,,online
TXN-0000000185,ACC-00000023,2024-09-15,03:50:15,30.22,transfer,,,mobile
TXN-0000000186,ACC-00000023,2025-01-09,18:32:00,-15.99,withdrawal,,,online
TXN-0000000187,ACC-00000023,2025-06-09,07:06:38,-5.77,purchase,healthcare,"Howard, Sanders and Lopez",mobile
TXN-0000000193,ACC-00000025,2024-10-26,09:24:19,-6.37,purchase,utilities,"Clark, Robinson and Kane",mobile
TXN-0000000195,ACC-00000025,2025-08-02,16:53:13,-3.98,withdrawal,,,online
TXN-0000000198,ACC-00000025,2025-02-08,18:27:36,-33.54,purchase,utilities,"King, Thompson and Guerrero",phone
TXN-0000000231,ACC-00000031,2025-10-16,09:29:07,469.57,deposit,,,mobile
TXN-0000000239,ACC-00000031,2025-12-16,01:16:48,-24.44,purchase,fuel,"Olson, Boone and Bell",online
TXN-0000000243,ACC-00000032,2024-06-03,08:59:01,-32.44,purchase,travel,"Villegas, Cardenas and Austin",online
TXN-0000000254,ACC-00000034,2024-08-24,10:17:21,-2.43,purchase,restaurant,"Moreno, Bennett and Chavez",online
TXN-0000000255,ACC-00000034,2024-07-21,14:44:39,-17.91,purchase,fuel,Collins-Nguyen,phone
TXN-0000000256,ACC-00000034,2025-04-07,10:49:58,-12.76,purchase,retail,"Miller, Williams and Moore",mobile
TXN-0000000286,ACC-00000037,2019-11-25,15:25:29,-1.97,purchase,retail,Harrison Ltd,phone
TXN-0000000288,ACC-00000037,2025-03-27,00:27:11,-92.22,purchase,fuel,Vargas-Bell,online
TXN-0000000289,ACC-00000037,2022-07-18,00:32:42,-43.62,purchase,entertainment,Murray-Johnson,online
TXN-0000000292,ACC-00000037,2022-07-17,22:24:54,19.26,deposit,,,branch
TXN-0000000293,ACC-00000037,2022-02-25,05:44:09,-156.81,fee,,,online
TXN-0000000307,ACC-00000039,2025-12-31,02:31:49,-152.42,purchase,grocery,"Cook, Rivera and Grant",mobile
TXN-0000000309,ACC-00000039,2025-12-30,05:02:17,-112.06,purchase,retail,Cummings-Douglas,mobile
TXN-0000000310,ACC-00000039,2025-12-22,04:02:28,-6.26,purchase,retail,Cook PLC,online
TXN-0000000311,ACC-00000039,2026-01-22,07:52:57,-5.35,purchase,utilities,Rangel LLC,mobile
TXN-0000000313,ACC-00000039,2025-12-26,16:47:19,-52.16,purchase,travel,"Myers, Larson and Hurley",online
TXN-0000000342,ACC-00000042,2023-02-25,19:31:38,193.86,deposit,,,online
TXN-0000000343,ACC-00000042,2023-02-17,02:01:14,-25.16,withdrawal,,,phone
TXN-0000000348,ACC-00000042,2022-11-16,23:12:45,-21.08,withdrawal,,,mobile
TXN-0000000350,ACC-00000042,2024-11-04,21:11:12,93.0,transfer,,,mobile
TXN-0000000355,ACC-00000043,2022-12-31,06:28:00,-37.3,purchase,travel,Potts and Sons,mobile
TXN-0000000357,ACC-00000043,2022-12-07,23:37:06,-2.77,fee,,,mobile
TXN-0000000368,ACC-00000046,2021-04-18,00:34:09,8.06,transfer,,,mobile
TXN-0000000380,ACC-00000047,2025-07-21,04:12:09,328.07,deposit,,,online
TXN-0000000381,ACC-00000047,2025-07-17,06:57:55,-16.65,withdrawal,,,online
TXN-0000000383,ACC-00000047,2025-09-19,06:40:51,-26.77,purchase,restaurant,"Miller, Villegas and Jones",branch
TXN-0000000385,ACC-00000047,2025-09-06,16:45:35,-25.42,withdrawal,,,mobile
TXN-0000000387,ACC-00000048,2023-05-29,16:52:12,-115.96,purchase,entertainment,Zavala-King,atm
TXN-0000000388,ACC-00000048,2022-04-13,14:47:29,-10.82,withdrawal,,,mobile
TXN-0000000389,ACC-00000048,2022-10-25,18:30:52,38.19,transfer,,,mobile
TXN-0000000390,ACC-00000048,2024-08-22,10:02:28,-3.12,purchase,retail,Cooper Ltd,mobile
TXN-0000000391,ACC-00000048,2025-11-15,21:55:27,-10.03,purchase,healthcare,"Garcia, Perkins and Sherman",phone
TXN-0000000394,ACC-00000049,2022-07-10,08:56:09,-71.54,purchase,restaurant,Welch-Cain,mobile
TXN-0000000403,ACC-00000051,2025-10-10,06:59:50,-69.67,purchase,retail,Atkins-Williams,online
TXN-0000000404,ACC-00000051,2024-08-27,11:39:02,-80.17,purchase,travel,Nelson-Lloyd,mobile
TXN-0000000405,ACC-00000051,2025-04-15,02:35:23,-23.19,purchase,healthcare,Paul-Kline,phone
TXN-0000000406,ACC-00000051,2025-03-26,00:15:45,-8.25,purchase,fuel,Beltran-Crawford,online
TXN-0000000422,ACC-00000053,2025-09-14,17:07:33,-300.0,purchase,travel,"Diaz, Reyes and Bradley",online
TXN-0000000423,ACC-00000053,2023-09-06,17:25:50,9.82,payment,,,online
TXN-0000000424,ACC-00000053,2022-03-28,04:17:40,-45.26,fee,,,atm
TXN-0000000425,ACC-00000053,2023-03-29,13:37:09,-2.98,purchase,retail,Rush-Watson,mobile
TXN-0000000426,ACC-00000053,2022-02-27,14:10:14,-7.8,purchase,restaurant,Berry PLC,mobile
TXN-0000000427,ACC-00000053,2025-10-10,18:44:11,-14.28,purchase,grocery,Edwards-Ramirez,online
TXN-0000000429,ACC-00000053,2024-06-08,20:19:14,-12.17,purchase,grocery,Mcintyre-Wilson,atm
TXN-0000000430,ACC-00000053,2025-06-25,12:53:39,129.32,payment,,,mobile
TXN-0000000432,ACC-00000053,2022-02-20,11:01:54,-8.19,fee,,,online
TXN-0000000449,ACC-00000056,2025-05-17,02:15:53,-3.51,purchase,entertainment,Martin Ltd,mobile
TXN-0000000452,ACC-00000056,2024-12-13,16:02:31,-3.73,purchase,utilities,Martinez-Turner,branch
TXN-0000000453,ACC-00000056,2023-05-13,11:29:14,-25.3,purchase,fuel,Shaw and Sons,mobile
TXN-0000000455,ACC-00000056,2021-11-15,12:27:46,149.54,payment,,,mobile
TXN-0000000463,ACC-00000058,2023-12-26,03:31:08,-2.77,purchase,travel,Evans-Jones,online
TXN-0000000465,ACC-00000058,2022-04-23,00:28:05,35.09,transfer,,,online
TXN-0000000466,ACC-00000058,2021-04-17,12:46:15,-4.93,withdrawal,,,online
TXN-0000000468,ACC-00000058,2023-09-29,22:00:00,-1.26,purchase,retail,Anderson-Wood,online
TXN-0000000469,ACC-00000058,2022-07-11,07:09:59,-2.53,purchase,healthcare,Flores Group,atm
TXN-0000000472,ACC-00000058,2021-06-22,08:33:34,-13.39,purchase,restaurant,Lin-Barnes,mobile
TXN-0000000473,ACC-00000058,2024-08-02,08:27:05,-32.05,purchase,restaurant,Peck-Griffith,mobile
TXN-0000000487,ACC-00000060,2025-04-29,23:18:11,-48.28,purchase,grocery,Boone Group,online
TXN-0000000489,ACC-00000060,2025-08-15,12:08:30,147.18,deposit,,,online
TXN-0000000493,ACC-00000061,2025-09-18,08:08:30,277.22,deposit,,,online
TXN-0000000495,ACC-00000061,2025-06-24,08:49:03,141.51,deposit,,,mobile
TXN-0000000497,ACC-00000061,2024-08-27,21:28:41,-1.18,purchase,utilities,Hester Group,mobile
TXN-0000000499,ACC-00000061,2024-12-29,18:49:55,-3.33,purchase,utilities,Grant-Diaz,online
