account_id,customer_id,account_type,open_date,credit_limit,status,branch_code
ACC-00000001,CUST-1000001,checking,2024-06-09,0,active,BR-134
ACC-00000002,CUST-1000002,loan,2019-12-12,15031,active,BR-113
ACC-00000004,CUST-1000004,savings,2025-04-22,0,active,BR-194
ACC-00000007,CUST-1000007,checking,2020-11-24,0,active,BR-155
ACC-00000010,CUST-1000010,credit_card,2019-11-15,37683,active,BR-149
ACC-00000011,CUST-1000011,checking,2024-10-03,0,active,BR-106
ACC-00000012,CUST-1000012,loan,2025-04-20,49555,dormant,
ACC-00000014,CUST-1000014,checking,2019-09-28,0,active,BR-119
ACC-00000019,CUST-1000019,savings,2019-10-19,0,suspended,BR-168
ACC-00000021,CUST-1000021,savings,2020-12-23,0,active,BR-148
ACC-00000022,CUST-1000022,checking,2023-04-20,0,active,BR-188
ACC-00000023,CUST-1000023,checking,2024-02-14,0,suspended,BR-111
ACC-00000034,CUST-1000034,loan,2024-01-05,32480,active,BR-184
ACC-00000035,CUST-1000035,loan,2021-05-14,33994,active,BR-121
ACC-00000039,CUST-1000039,savings,2025-11-08,0,active,BR-185
ACC-00000040,CUST-1000040,savings,2020-05-11,0,active,BR-139
ACC-00000042,CUST-1000042,savings,2022-08-06,0,active,BR-163
ACC-00000044,CUST-1000044,loan,2021-05-13,24569,active,BR-106
ACC-00000049,CUST-1000049,savings,2019-11-14,0,closed,BR-191
ACC-00000050,CUST-1000050,checking,2019-10-16,0,active,BR-139
ACC-00000051,CUST-1000051,loan,2022-03-26,12151,closed,BR-125
ACC-00000053,CUST-1000053,loan,2022-01-20,45739,suspended,
ACC-00000055,CUST-1000055,savings,2024-02-19,0,dormant,BR-141
ACC-00000056,CUST-1000056,loan,2021-04-01,48448,active,BR-105
ACC-00000057,CUST-1000057,checking,2025-11-12,0,active,BR-122
ACC-00000058,CUST-1000058,checking,2019-05-15,0,active,BR-149
ACC-00000059,CUST-1000059,checking,2025-03-17,0,active,
ACC-00000060,CUST-1000060,checking,2022-11-28,0,active,BR-110
ACC-00000064,CUST-1000064,checking,2019-09-02,0,active,BR-184
ACC-00000065,CUST-1000065,checking,2023-09-12,0,active,BR-108
ACC-00000067,CUST-1000067,checking,2024-05-07,0,active,BR-181
ACC-00000068,CUST-1000068,credit_card,2024-04-05,44837,active,BR-183
ACC-00000069,CUST-1000069,checking,2022-01-28,0,active,BR-101
ACC-00000070,CUST-1000070,loan,2023-11-29,36303,active,BR-102
ACC-00000075,CUST-1000075,credit_card,2024-08-16,3032,dormant,
ACC-00000078,CUST-1000078,checking,2021-06-18,0,active,BR-111
ACC-00000081,CUST-1000081,credit_card,2019-11-10,38842,active,BR-133
ACC-00000082,CUST-1000082,savings,2022-03-27,0,active,BR-194
ACC-00000083,CUST-1000083,checking,2021-05-13,0,active,BR-126
ACC-00000084,CUST-1000084,checking,2022-11-09,0,closed,BR-102
ACC-00000085,CUST-1000085,checking,2024-05-29,0,suspended,BR-124
