account_id,balance_date,available_balance,ledger_balance,overdraft_count
ACC-00000001,2024-06-09,9689.01,9707.68,0
ACC-00000001,2024-07-31,9951.72,9969.86,0
ACC-00000001,2024-08-31,10928.91,10951.26,0
ACC-00000001,2024-09-30,11099.24,11172.95,0
ACC-00000001,2024-11-30,10796.13,10803.09,0
ACC-00000001,2024-12-31,10291.63,10315.52,0
ACC-00000001,2025-03-31,10131.42,10199.75,0
ACC-00000001,2025-04-30,10919.53,10974.37,0
ACC-00000001,2025-07-31,9719.52,9743.5,0
ACC-00000001,2025-08-31,9656.24,9672.4,0
ACC-00000001,2025-12-31,9804.4,9837.7,0
ACC-00000002,2020-01-31,-30208.59,-30190.31,0
ACC-00000002,2020-02-29,-31122.44,-31113.97,0
ACC-00000002,2020-03-31,-29686.2,-29652.72,0
ACC-00000002,2020-04-30,-29732.62,-29663.73,0
ACC-00000002,2020-05-31,-29834.34,-29825.64,0
ACC-00000002,2020-06-30,-29298.06,-29255.2,0
ACC-00000002,2020-10-31,-28039.14,-28013.8,0
ACC-00000002,2021-05-31,-28475.27,-28402.82,0
ACC-00000002,2021-06-30,-28315.2,-28282.61,0
ACC-00000002,2021-07-31,-27491.74,-27393.5,0
ACC-00000002,2021-10-31,-30475.61,-30439.99,0
ACC-00000002,2022-03-31,-31253.62,-31185.13,0
ACC-00000002,2022-06-30,-31329.94,-31315.93,0
ACC-00000002,2022-09-30,-31264.86,-31261.14,0
ACC-00000002,2022-10-31,-31467.08,-31421.84,0
ACC-00000002,2023-01-31,-32189.49,-32172.76,0
ACC-00000002,2023-04-30,-32836.75,-32748.26,0
ACC-00000002,2023-05-31,-33426.67,-33403.15,0
ACC-00000002,2023-06-30,-33850.38,-33804.07,0
ACC-00000002,2023-11-30,-32169.79,-32098.67,0
ACC-00000002,2023-12-31,-31429.9,-31333.19,0
ACC-00000002,2024-01-31,-31102.9,-31082.07,0
ACC-00000002,2024-02-29,-30257.77,-30242.72,0
ACC-00000002,2024-05-31,-30606.36,-30577.03,0
ACC-00000002,2024-08-31,-31052.81,-31018.17,0
ACC-00000002,2024-11-30,-30164.9,-30150.55,0
ACC-00000002,2024-12-31,-30408.21,-30383.71,0
ACC-00000002,2025-03-31,-30653.74,-30650.38,0
ACC-00000002,2025-09-30,-30452.24,-30431.39,0
ACC-00000002,2025-10-31,-31165.75,-31080.24,0
ACC-00000002,2025-11-30,-31297.04,-31214.24,0
ACC-00000004,2025-04-22,4978.62,5006.11,0
ACC-00000004,2025-05-31,5835.45,5865.71,0
ACC-00000004,2025-06-30,6078.78,6164.33,0
ACC-00000004,2025-08-31,5457.78,5539.17,0
ACC-00000007,2020-11-24,3796.06,3836.11,0
ACC-00000007,2020-12-31,3183.17,3232.89,0
ACC-00000007,2021-01-31,2682.35,2758.34,0
ACC-00000007,2021-03-31,1966.79,1986.01,0
ACC-00000007,2021-07-31,93.5,165.71,0
ACC-00000007,2021-08-31,468.78,561.4,0
ACC-00000007,2021-11-30,760.81,788.64,0
ACC-00000007,2022-01-31,-164.88,-162.88,1
ACC-00000007,2022-02-28,16.93,52.94,0
ACC-00000007,2022-04-30,-548.17,-522.17,4
ACC-00000007,2022-06-30,-685.92,-654.99,3
ACC-00000007,2022-08-31,-1000.51,-1000.0,2
ACC-00000007,2022-10-31,-508.64,-440.66,1
ACC-00000007,2022-11-30,-308.74,-276.68,2
ACC-00000007,2023-06-30,-1000.0,-954.48,1
ACC-00000007,2023-07-31,-1000.0,-932.65,2
ACC-00000007,2023-08-31,-1015.09,-1000.0,3
ACC-00000007,2023-12-31,-394.66,-307.56,1
ACC-00000007,2024-01-31,-343.63,-244.17,2
ACC-00000007,2024-03-31,-852.82,-828.41,4
ACC-00000007,2024-04-30,-721.08,-690.4,3
ACC-00000007,2024-05-31,-1000.0,-928.6,4
ACC-00000007,2024-10-31,-1000.0,-940.09,4
ACC-00000007,2024-11-30,-898.7,-832.54,2
ACC-00000007,2025-01-31,-595.42,-553.33,4
ACC-00000007,2025-06-30,858.57,867.22,0
ACC-00000007,2025-07-31,818.8,839.9,0
ACC-00000007,2025-08-31,816.71,882.41,0
ACC-00000007,2025-10-31,896.33,995.41,0
ACC-00000010,2019-11-15,-978.36,-978.26,0
ACC-00000010,2019-12-31,-1822.18,-1774.05,0
ACC-00000010,2020-01-31,-1851.69,-1831.4,0
ACC-00000010,2020-02-29,-739.68,-665.6,0
ACC-00000010,2020-04-30,-3.95,93.38,0
ACC-00000010,2020-05-31,-25.71,-6.47,0
ACC-00000010,2020-07-31,-700.38,-629.17,0
ACC-00000010,2020-10-31,-235.79,-221.82,0
ACC-00000010,2020-11-30,978.07,1008.33,0
ACC-00000010,2020-12-31,657.08,737.17,0
ACC-00000010,2021-03-31,71.9,104.77,0
ACC-00000010,2022-02-28,-838.28,-827.1,0
ACC-00000010,2022-04-30,-342.48,-301.17,0
ACC-00000010,2022-06-30,-515.59,-477.63,0
ACC-00000010,2022-07-31,-332.31,-262.25,0
ACC-00000010,2022-09-30,456.41,457.17,0
ACC-00000010,2023-03-31,596.0,642.59,0
ACC-00000010,2023-07-31,1352.03,1385.05,0
ACC-00000010,2023-10-31,1656.06,1670.41,0
ACC-00000010,2023-11-30,1625.23,1660.74,0
ACC-00000010,2024-05-31,-71.89,-36.43,0
ACC-00000010,2024-06-30,728.51,777.28,0
ACC-00000010,2024-07-31,800.45,843.32,0
ACC-00000010,2024-09-30,1295.11,1331.1,0
ACC-00000010,2025-03-31,2282.51,2324.49,0
ACC-00000010,2025-04-30,1268.39,1330.64,0
ACC-00000010,2025-07-31,2420.67,2428.86,0
ACC-00000010,2025-09-30,1846.94,1847.18,0
ACC-00000010,2025-10-31,1786.25,1823.95,0
ACC-00000010,2025-11-30,2327.24,2350.02,0
ACC-00000011,2024-10-03,2438.75,2480.36,0
ACC-00000011,2024-12-31,2139.6,2185.83,0
ACC-00000011,2025-05-31,2900.09,2924.94,0
ACC-00000011,2025-07-31,3239.73,3248.06,0
ACC-00000011,2025-12-31,4609.14,4702.19,0
ACC-00000012,2025-04-20,-6998.56,-6978.83,0
ACC-00000012,2025-08-31,-7574.5,-7475.18,0
ACC-00000012,2025-10-31,-7909.61,-7833.57,0
ACC-00000012,2025-12-31,-7350.29,-7294.59,0
ACC-00000014,2019-09-28,8676.46,8769.93,0
ACC-00000014,2019-11-30,8349.83,8429.69,0
ACC-00000014,2019-12-31,8759.83,8855.14,0
ACC-00000014,2020-06-30,9962.2,10048.24,0
ACC-00000014,2020-07-31,9830.73,9855.47,0
ACC-00000014,2020-08-31,9823.86,9907.03,0
ACC-00000014,2020-09-30,9991.7,10014.28,0
ACC-00000014,2020-11-30,9379.33,9410.61,0
ACC-00000014,2020-12-31,8867.52,8900.92,0
ACC-00000014,2021-01-31,8126.86,8171.08,0
ACC-00000014,2021-05-31,6729.31,6761.78,0
ACC-00000014,2021-06-30,6578.97,6649.15,0
ACC-00000014,2021-07-31,5817.33,5848.49,0
ACC-00000014,2021-08-31,6747.69,6760.39,0
ACC-00000014,2021-09-30,7346.27,7366.06,0
ACC-00000014,2021-10-31,7484.74,7558.74,0
ACC-00000014,2021-12-31,7209.31,7306.54,0
ACC-00000014,2022-02-28,6011.81,6093.92,0
ACC-00000014,2022-03-31,5879.91,5972.19,0
ACC-00000014,2022-05-31,6350.66,6388.83,0
ACC-00000014,2022-07-31,4893.93,4955.41,0
ACC-00000014,2022-09-30,4763.72,4811.2,0
ACC-00000014,2022-10-31,5180.29,5275.29,0
ACC-00000014,2023-02-28,6251.2,6289.42,0
ACC-00000014,2023-05-31,5398.8,5480.23,0
ACC-00000014,2023-09-30,5529.45,5555.53,0
ACC-00000014,2023-10-31,5142.11,5239.37,0
ACC-00000014,2023-12-31,5043.43,5097.13,0
ACC-00000014,2024-03-31,4338.68,4346.5,0
ACC-00000014,2024-07-31,4137.74,4165.52,0
ACC-00000014,2024-10-31,5551.83,5629.0,0
ACC-00000014,2024-12-31,5070.26,5102.25,0
ACC-00000014,2025-02-28,5688.44,5690.39,0
ACC-00000014,2025-04-30,7025.35,7076.9,0
ACC-00000014,2025-05-31,7474.78,7516.57,0
