transaction_id,account_id,transaction_date,transaction_time,amount,transaction_type,merchant_category,merchant_name,channel
TXN-0000000001,ACC-00000001,2025-02-13,15:28:35,-64.31,purchase,utilities,"Sanchez, Beck and Wood",online
TXN-0000000003,ACC-00000001,2025-04-07,20:41:49,-5.11,purchase,fuel,Coleman-Reese,mobile
TXN-0000000004,ACC-00000001,2024-12-17,07:09:08,72.44,transfer,,,mobile
TXN-0000000005,ACC-00000001,2025-05-19,13:18:21,41.63,transfer,,,atm
TXN-0000000006,ACC-00000001,2025-01-31,22:02:10,-12.68,purchase,entertainment,Nelson-King,online
TXN-0000000008,ACC-00000001,2025-06-03,23:18:08,-14.37,purchase,healthcare,Stewart Ltd,branch
TXN-0000000009,ACC-00000002,2021-12-12,07:48:46,-1.15,interest,,,online
TXN-0000000010,ACC-00000002,2024-04-16,15:47:13,-5.53,purchase,grocery,"Lopez, Robinson and Washington",mobile
TXN-0000000012,ACC-00000002,2023-11-30,01:40:22,76.09,payment,,,atm
TXN-0000000016,ACC-00000002,2021-09-26,05:40:38,124.91,payment,,,mobile
TXN-0000000018,ACC-00000002,2025-08-15,09:40:34,-28.18,fee,,,online
TXN-0000000019,ACC-00000002,2021-01-04,19:54:45,-25.56,purchase,grocery,Little Group,branch
TXN-0000000025,ACC-00000004,2025-12-14,22:31:31,35.62,deposit,,,phone
TXN-0000000028,ACC-00000004,2025-12-07,11:03:28,-56.77,withdrawal,,,mobile
TXN-0000000031,ACC-00000004,2025-04-27,11:37:09,-18.45,purchase,utilities,Obrien-Gibbs,online
TXN-0000000032,ACC-00000004,2025-11-09,23:13:12,-125.02,withdrawal,,,online
TXN-0000000054,ACC-00000007,2024-11-13,13:20:12,-80.73,withdrawal,,,online
TXN-0000000056,ACC-00000007,2022-06-28,08:18:43,31.5,transfer,,,atm
TXN-0000000057,ACC-00000007,2021-04-20,09:13:02,-11.44,withdrawal,,,online
TXN-0000000073,ACC-00000010,2023-09-24,08:37:16,-26.5,purchase,entertainment,Wilson-Barton,online
TXN-0000000075,ACC-00000010,2020-10-11,15:34:14,-75.32,purchase,entertainment,Brown-Stone,branch
TXN-0000000077,ACC-00000010,2020-05-27,10:25:39,-14.13,purchase,entertainment,Dunn-Pennington,mobile
TXN-0000000078,ACC-00000010,2024-09-27,01:12:58,-24.92,purchase,travel,"Washington, Johnson and Mccoy",online
TXN-0000000079,ACC-00000010,2022-05-14,18:29:50,-27.21,fee,,,branch
TXN-0000000084,ACC-00000010,2024-06-09,04:34:06,-12.8,purchase,healthcare,Holland and Sons,atm
TXN-0000000090,ACC-00000011,2025-04-17,17:02:36,-168.65,withdrawal,,,mobile
TXN-0000000091,ACC-00000011,2025-01-19,14:41:57,-12.36,purchase,fuel,Morgan-French,atm
TXN-0000000107,ACC-00000014,2020-05-28,23:38:32,-0.66,purchase,travel,Harrison LLC,mobile
TXN-0000000109,ACC-00000014,2020-10-12,00:49:35,-10.99,purchase,retail,"James, Stewart and Higgins",mobile
TXN-0000000149,ACC-00000019,2024-12-09,09:25:33,-3.82,purchase,fuel,Rivas-Scott,mobile
TXN-0000000150,ACC-00000019,2023-11-16,13:24:25,-47.43,purchase,travel,Francis-Morgan,online
TXN-0000000157,ACC-00000019,2023-07-28,20:32:50,-5.29,purchase,fuel,Ruiz PLC,branch
TXN-0000000169,ACC-00000021,2024-02-06,23:29:49,-11.14,purchase,entertainment,"Garcia, Burns and Russell",online
TXN-0000000171,ACC-00000021,2022-07-17,14:39:09,-21.14,purchase,travel,"Wood, Ramos and Sampson",mobile
TXN-0000000173,ACC-00000021,2023-03-01,16:12:38,-4.58,fee,,,mobile
TXN-0000000175,ACC-00000021,2025-05-16,07:06:38,-11.45,purchase,retail,Sanders and Sons,atm
TXN-0000000176,ACC-00000022,2024-07-29,01:28:44,-10.22,withdrawal,,,branch
TXN-0000000177,ACC-00000022,2024-05-07,13:19:33,408.36,transfer,,,branch
TXN-0000000179,ACC-00000022,2024-09-19,15:52:55,-25.32,purchase,healthcare,Sanchez-Martinez,online
TXN-0000000181,ACC-00000022,2024-10-24,15:08:13,-7.02,withdrawal,,,branch
TXN-0000000182,ACC-00000022,2025-10-19,11:59:59,205.2,transfer,,,mobile
TXN-0000000183,ACC-00000023,2024-07-14,20:19:18,-6.03,purchase,retail,Murphy and Sons,atm
TXN-0000000185,ACC-00000023,2024-03-05,03:04:30,-11.15,withdrawal,,,atm
TXN-0000000186,ACC-00000023,2025-01-05,18:27:36,-56.72,purchase,grocery,Lindsey-Rodriguez,mobile
TXN-0000000187,ACC-00000023,2024-08-31,23:41:20,-46.06,withdrawal,,,online
TXN-0000000188,ACC-00000023,2025-10-21,08:31:45,31.47,transfer,,,phone
TXN-0000000260,ACC-00000034,2024-01-22,06:51:15,-26.97,purchase,fuel,Graham Group,mobile
TXN-0000000263,ACC-00000034,2024-03-13,18:29:26,-3.28,purchase,travel,Solis PLC,atm
TXN-0000000264,ACC-00000034,2024-01-13,15:55:48,-13.77,purchase,entertainment,"Gillespie, Davis and Richard",online
TXN-0000000265,ACC-00000034,2024-06-06,20:01:41,-51.69,purchase,utilities,Chapman-Warren,branch
TXN-0000000266,ACC-00000034,2025-07-04,01:54:45,-1.2,purchase,travel,Reese-Walker,atm
TXN-0000000267,ACC-00000034,2025-10-17,03:32:24,-22.34,purchase,restaurant,Jones Ltd,atm
TXN-0000000269,ACC-00000034,2025-06-03,01:52:03,-94.6,purchase,grocery,"Lee, Parsons and Bell",phone
TXN-0000000271,ACC-00000034,2025-01-30,21:58:47,-10.24,purchase,retail,Morrison Ltd,mobile
TXN-0000000273,ACC-00000034,2025-06-09,14:47:10,191.39,payment,,,mobile
TXN-0000000275,ACC-00000035,2022-09-03,17:18:47,-20.22,fee,,,online
TXN-0000000278,ACC-00000035,2024-06-30,13:45:07,-34.5,interest,,,mobile
TXN-0000000280,ACC-00000035,2023-06-08,08:44:29,21.22,payment,,,online
TXN-0000000315,ACC-00000039,2025-12-25,08:15:25,-76.47,purchase,retail,Li-Santiago,mobile
TXN-0000000316,ACC-00000039,2026-01-03,01:38:15,54.95,deposit,,,branch
TXN-0000000317,ACC-00000040,2022-04-17,13:51:33,-6.37,withdrawal,,,mobile
TXN-0000000319,ACC-00000040,2020-12-03,00:48:52,15.15,deposit,,,mobile
TXN-0000000322,ACC-00000040,2020-07-04,13:11:53,-7.34,fee,,,mobile
TXN-0000000325,ACC-00000040,2020-08-03,09:56:04,150.37,deposit,,,mobile
TXN-0000000336,ACC-00000042,2025-06-13,05:47:58,28.6,deposit,,,phone
TXN-0000000338,ACC-00000042,2023-02-25,10:09:20,193.86,deposit,,,online
TXN-0000000340,ACC-00000042,2024-09-23,17:45:36,-364.28,purchase,healthcare,White Ltd,atm
TXN-0000000344,ACC-00000042,2022-11-16,10:21:23,-21.08,withdrawal,,,mobile
TXN-0000000356,ACC-00000044,2022-03-22,21:11:12,-95.66,purchase,restaurant,"Villa, Dawson and Black",atm
TXN-0000000357,ACC-00000044,2024-05-18,06:42:48,4.13,payment,,,branch
TXN-0000000358,ACC-00000044,2021-07-25,21:21:08,-6.55,purchase,entertainment,Hines LLC,online
TXN-0000000359,ACC-00000044,2023-03-31,18:49:49,-45.13,purchase,restaurant,"Hernandez, Kim and Potts",online
TXN-0000000395,ACC-00000049,2022-04-19,04:50:43,-104.63,fee,,,atm
TXN-0000000396,ACC-00000049,2024-07-31,02:42:06,-19.55,withdrawal,,,online
TXN-0000000397,ACC-00000050,2024-04-04,05:12:52,-14.6,withdrawal,,,online
TXN-0000000398,ACC-00000050,2024-05-31,08:20:53,320.03,deposit,,,atm
TXN-0000000400,ACC-00000050,2021-08-23,15:18:21,-31.34,purchase,entertainment,Williams PLC,online
TXN-0000000404,ACC-00000050,2022-05-20,03:01:38,-37.58,purchase,entertainment,Carter Inc,atm
TXN-0000000406,ACC-00000050,2021-04-03,05:08:16,-46.09,purchase,grocery,"Sanders, Ochoa and Kennedy",online
TXN-0000000407,ACC-00000050,2025-01-17,06:59:50,-53.73,purchase,utilities,"Lee, Kelly and Norman",online
TXN-0000000408,ACC-00000050,2023-12-09,11:39:02,-56.57,purchase,entertainment,Nelson-Lloyd,online
TXN-0000000412,ACC-00000050,2022-10-18,15:26:57,-19.66,purchase,travel,"Jimenez, Glass and Stone",branch
TXN-0000000414,ACC-00000051,2023-06-23,06:29:07,-6.59,purchase,retail,"Coleman, Jordan and Carney",mobile
TXN-0000000415,ACC-00000051,2024-01-30,04:06:07,-0.37,purchase,fuel,"Carter, Garcia and Murphy",online
TXN-0000000421,ACC-00000053,2025-07-09,07:21:09,280.26,payment,,,phone
TXN-0000000422,ACC-00000053,2025-02-15,02:30:32,-121.49,purchase,restaurant,"Harrington, Johnson and Jones",online
TXN-0000000424,ACC-00000053,2025-12-04,10:37:34,-32.48,purchase,retail,Shelton LLC,online
TXN-0000000426,ACC-00000053,2024-08-05,03:09:02,-17.83,purchase,restaurant,Sanders-Banks,online
TXN-0000000428,ACC-00000053,2022-06-25,12:53:39,-4.45,purchase,retail,"Hughes, Hoffman and Green",mobile
TXN-0000000429,ACC-00000053,2025-04-29,22:54:55,42.46,payment,,,online
TXN-0000000437,ACC-00000055,2026-01-01,02:38:00,-20.09,purchase,travel,Galloway and Sons,mobile
TXN-0000000441,ACC-00000056,2022-01-03,05:30:40,-0.98,purchase,entertainment,"Mendoza, Jenkins and Ortiz",online
TXN-0000000444,ACC-00000056,2022-02-22,04:48:52,-95.09,purchase,fuel,Day-Cole,online
TXN-0000000446,ACC-00000056,2021-09-16,07:03:08,-24.0,purchase,entertainment,"White, Burch and Reynolds",atm
TXN-0000000448,ACC-00000056,2021-07-15,13:06:06,-10.7,purchase,entertainment,"Hernandez, Martin and Morris",mobile
TXN-0000000450,ACC-00000056,2021-04-18,05:42:21,-70.57,purchase,healthcare,King Ltd,branch
TXN-0000000452,ACC-00000057,2025-12-19,16:02:31,-0.29,purchase,restaurant,Weber PLC,mobile
TXN-0000000453,ACC-00000057,2025-11-19,04:12:49,-56.46,withdrawal,,,mobile
TXN-0000000463,ACC-00000057,2025-11-24,23:01:16,-18.12,withdrawal,,,online
TXN-0000000466,ACC-00000057,2025-12-22,04:02:12,-24.05,purchase,restaurant,"Baker, Clark and Armstrong",online
TXN-0000000467,ACC-00000058,2022-10-04,05:05:46,-13.33,fee,,,phone
TXN-0000000468,ACC-00000058,2020-10-01,18:14:35,269.32,deposit,,,mobile
TXN-0000000469,ACC-00000058,2023-05-14,19:16:21,-4.53,withdrawal,,,atm
TXN-0000000471,ACC-00000058,2019-11-28,15:10:48,-123.34,withdrawal,,,online
TXN-0000000472,ACC-00000058,2021-10-29,18:37:27,285.27,deposit,,,atm
TXN-0000000473,ACC-00000058,2025-10-19,12:57:07,27.25,deposit,,,phone
TXN-0000000475,ACC-00000058,2021-03-17,02:39:40,-28.34,purchase,retail,Chavez-Barker,online
TXN-0000000476,ACC-00000058,2023-02-09,12:46:15,-18.7,purchase,utilities,Perry-Marshall,mobile
TXN-0000000477,ACC-00000058,2021-10-01,14:56:37,-35.51,withdrawal,,,branch
TXN-0000000479,ACC-00000059,2025-04-11,10:20:32,-36.97,purchase,fuel,"Travis, Reed and Ross",branch
TXN-0000000481,ACC-00000059,2025-06-18,12:47:09,-2.59,purchase,travel,Martinez-Cole,online
TXN-0000000483,ACC-00000059,2025-10-18,19:05:21,-5.46,withdrawal,,,mobile
TXN-0000000488,ACC-00000060,2025-12-15,01:12:10,-50.74,purchase,travel,Jimenez-Parker,mobile
TXN-0000000490,ACC-00000060,2024-01-02,09:42:31,-15.97,purchase,fuel,Lewis LLC,phone
TXN-0000000492,ACC-00000060,2024-03-07,17:18:48,-35.51,purchase,healthcare,Simpson-Khan,online
TXN-0000000493,ACC-00000060,2025-11-28,18:25:42,-1252.41,purchase,fuel,"Ruiz, Herrera and Boone",branch
TXN-0000000497,ACC-00000060,2025-09-10,15:23:47,-14.07,purchase,entertainment,Cox LLC,phone
TXN-0000000519,ACC-00000064,2020-04-17,11:13:57,-21.77,purchase,restaurant,Johnson Ltd,online
TXN-0000000522,ACC-00000064,2022-05-21,04:18:05,181.32,deposit,,,online
TXN-0000000523,ACC-00000064,2025-06-12,19:36:50,-35.57,purchase,travel,"Harris, Shaw and Carr",mobile
TXN-0000000527,ACC-00000064,2024-02-06,14:01:11,-76.38,withdrawal,,,branch
TXN-0000000529,ACC-00000065,2024-04-08,00:44:19,-24.08,purchase,travel,Lowe-Dillon,online
TXN-0000000530,ACC-00000065,2024-08-12,06:23:36,-5.46,purchase,restaurant,"Lara, Baker and Washington",mobile
TXN-0000000533,ACC-00000065,2023-12-25,05:42:04,-11.27,purchase,retail,Bush-Vaughn,mobile
TXN-0000000542,ACC-00000065,2024-07-09,01:52:29,-14.1,purchase,utilities,Roberts LLC,mobile
TXN-0000000558,ACC-00000067,2025-02-14,11:51:48,209.47,deposit,,,mobile
TXN-0000000559,ACC-00000067,2025-08-12,15:31:20,-27.32,purchase,travel,Smith PLC,branch
TXN-0000000563,ACC-00000067,2024-07-07,11:51:26,115.43,deposit,,,online
TXN-0000000567,ACC-00000068,2025-09-17,01:16:09,-18.25,purchase,entertainment,"Hall, Rodgers and Jefferson",branch
TXN-0000000570,ACC-00000068,2024-11-14,18:27:02,-3.08,purchase,retail,Mcdowell-Smith,mobile
TXN-0000000574,ACC-00000068,2025-11-07,06:34:36,-1.63,purchase,entertainment,Small-Anderson,mobile
TXN-0000000575,ACC-00000069,2025-11-30,17:15:59,-11.02,withdrawal,,,phone
TXN-0000000576,ACC-00000069,2025-02-28,19:36:06,-12.07,purchase,fuel,Lee-Rodriguez,mobile
TXN-0000000580,ACC-00000069,2022-09-12,22:47:34,60.47,deposit,,,online
TXN-0000000582,ACC-00000069,2022-08-19,21:05:49,-67.25,purchase,fuel,"Prince, Wilcox and Robertson",mobile
TXN-0000000586,ACC-00000069,2023-07-17,04:19:03,-2.53,purchase,travel,Reyes-Griffin,online
TXN-0000000587,ACC-00000070,2024-07-10,21:09:07,-2.96,interest,,,mobile
TXN-0000000588,ACC-00000070,2025-09-11,21:42:24,226.5,payment,,,mobile
TXN-0000000589,ACC-00000070,2024-11-06,03:22:18,98.39,payment,,,mobile
