transaction_id,account_id,transaction_date,transaction_time,amount,transaction_type,merchant_category,merchant_name,channel
TXN-0000000001,ACC-00000001,2025-02-13,15:28:35,-64.31,purchase,utilities,"Sanchez, Beck and Wood",online
TXN-0000000002,ACC-00000001,2024-08-17,03:16:10,427.56,transfer,,,online
TXN-0000000003,ACC-00000001,2025-04-07,20:41:49,-5.11,purchase,fuel,Coleman-Reese,mobile
TXN-0000000004,ACC-00000001,2024-12-17,07:09:08,72.44,transfer,,,mobile
TXN-0000000005,ACC-00000001,2025-05-19,13:18:21,41.63,transfer,,,atm
TXN-0000000006,ACC-00000001,2025-01-31,22:02:10,-12.68,purchase,entertainment,Nelson-King,online
TXN-0000000007,ACC-00000001,2025-01-31,14:51:59,-32.58,withdrawal,,,atm
TXN-0000000008,ACC-00000001,2025-06-03,23:18:08,-14.37,purchase,healthcare,Stewart Ltd,branch
TXN-0000000009,ACC-00000002,2021-12-12,07:48:46,-1.15,interest,,,online
TXN-0000000010,ACC-00000002,2024-04-16,15:47:13,-5.53,purchase,grocery,"Lopez, Robinson and Washington",mobile
TXN-0000000011,ACC-00000002,2021-06-15,06:17:15,-4.0,interest,,,mobile
TXN-0000000012,ACC-00000002,2023-11-30,01:40:22,76.09,payment,,,atm
TXN-0000000013,ACC-00000002,2021-10-19,22:04:57,26.24,payment,,,online
TXN-0000000014,ACC-00000002,2025-07-10,02:59:43,-37.72,purchase,grocery,"Campbell, Garcia and Lee",atm
TXN-0000000015,ACC-00000002,2021-04-20,23:59:36,-10.21,purchase,travel,White-Smith,online
TXN-0000000016,ACC-00000002,2021-09-26,05:40:38,124.91,payment,,,mobile
TXN-0000000017,ACC-00000002,2024-10-22,02:17:42,-9.03,purchase,travel,Williams-Brown,mobile
TXN-0000000018,ACC-00000002,2025-08-15,09:40:34,-28.18,fee,,,online
TXN-0000000019,ACC-00000002,2021-01-04,19:54:45,-25.56,purchase,grocery,Little Group,branch
TXN-0000000020,ACC-00000003,2025-12-18,12:08:53,-21.76,purchase,fuel,Andrews Group,online
TXN-0000000021,ACC-00000003,2023-11-11,09:13:20,-36.78,purchase,entertainment,Peterson-Sheppard,mobile
TXN-0000000022,ACC-00000003,2025-10-23,00:33:46,-38.15,interest,,,mobile
TXN-0000000023,ACC-00000003,2022-05-13,10:15:04,-15.67,purchase,retail,Short Group,mobile
TXN-0000000024,ACC-00000003,2023-12-26,07:44:11,19.71,payment,,,online
TXN-0000000025,ACC-00000004,2025-12-14,22:31:31,35.62,deposit,,,phone
TXN-0000000026,ACC-00000004,2025-09-27,22:59:18,-7.79,fee,,,online
TXN-0000000027,ACC-00000004,2025-07-01,19:59:09,76.55,transfer,,,mobile
TXN-0000000028,ACC-00000004,2025-12-07,11:03:28,-56.77,withdrawal,,,mobile
TXN-0000000029,ACC-00000004,2025-11-28,20:56:47,-83.26,purchase,travel,Hernandez PLC,atm
TXN-0000000030,ACC-00000004,2025-08-21,23:31:50,-16.4,purchase,retail,Mcknight Inc,mobile
TXN-0000000031,ACC-00000004,2025-04-27,11:37:09,-18.45,purchase,utilities,Obrien-Gibbs,online
TXN-0000000032,ACC-00000004,2025-11-09,23:13:12,-125.02,withdrawal,,,online
TXN-0000000033,ACC-00000004,2025-08-05,20:55:03,-192.76,purchase,entertainment,"James, Kerr and Evans",branch
TXN-0000000034,ACC-00000005,2024-01-30,11:00:09,-7.11,purchase,retail,Torres-Oliver,online
TXN-0000000035,ACC-00000005,2024-11-17,00:28:10,-39.07,withdrawal,,,online
TXN-0000000036,ACC-00000005,2024-04-08,06:15:01,-3.57,purchase,travel,Meza and Sons,mobile
TXN-0000000037,ACC-00000005,2023-11-13,16:12:16,-1.46,purchase,restaurant,Baker Inc,branch
TXN-0000000038,ACC-00000005,2024-02-14,21:09:08,-392.14,withdrawal,,,online
TXN-0000000039,ACC-00000006,2024-11-08,03:49:16,-9.72,withdrawal,,,online
TXN-0000000040,ACC-00000006,2022-03-10,20:12:03,21.8,transfer,,,online
TXN-0000000041,ACC-00000006,2025-11-09,07:55:33,-8.24,purchase,fuel,Moore Group,mobile
