account_id,balance_date,available_balance,ledger_balance,overdraft_count
ACC-00000001,06/09/2024,9689.01,9707.68,0
ACC-00000001,07/31/2024,9969.86,9951.72,0
ACC-00000001,08/31/2024,10928.91,10951.26,0
ACC-00000001,09/30/2024,11099.24,11172.95,0
ACC-00000001,2024-10-31,11063.41,11127.69,0
ACC-00000001,11/30/2024,10796.13,10803.09,0
ACC-00000001,12/31/2024,10291.63,10315.52,0
ACC-00000001,2025-01-31,10331.96,10335.64,0
ACC-00000001,2025-02-28,10128.24,10162.5,0
ACC-00000001,03/31/2025,10131.42,10199.75,0
ACC-00000001,04/30/2025,10919.53,10974.37,0
ACC-00000001,2025-05-31,11089.4,11180.55,0
ACC-00000001,2025-06-30,10258.63,10310.6,0
ACC-00000001,07/31/2025,9719.52,9743.5,0
ACC-00000001,08/31/2025,9656.24,9672.4,0
ACC-00000001,2025-09-30,9438.05,9435.88,0
ACC-00000001,2025-10-31,10139.17,10102.63,0
ACC-00000001,2025-11-30,10099.56,10101.59,0
ACC-00000001,12/31/2025,9804.4,9837.7,0
ACC-00000002,2019-12-12,-29919.87,-29840.57,0
ACC-00000002,01/31/2020,-30208.59,-30190.31,0
ACC-00000002,02/29/2020,-31122.44,-31113.97,0
ACC-00000002,03/31/2020,-29652.72,-29686.2,0
ACC-00000002,04/30/2020,-29732.62,-29663.73,0
ACC-00000002,05/31/2020,-29825.64,-29834.34,0
ACC-00000002,06/30/2020,-29255.2,-29298.06,0
ACC-00000002,2020-07-31,-28777.55,-28742.3,0
ACC-00000002,2020-08-31,-28870.33,-28834.87,0
ACC-00000002,2020-09-30,-28913.56,-28946.13,0
ACC-00000002,10/31/2020,-28013.8,-28039.14,0
ACC-00000002,2020-11-30,-28098.68,-28035.38,0
ACC-00000002,2020-12-31,-27655.81,-27578.29,0
ACC-00000002,2021-01-31,-27984.7,-28001.64,0
ACC-00000002,2021-02-28,-28480.06,-28446.4,0
ACC-00000002,2021-03-31,-28263.8,-28182.95,0
ACC-00000002,2021-04-30,-27829.45,-27852.75,0
ACC-00000002,05/31/2021,-28475.27,-28402.82,0
ACC-00000002,06/30/2021,-28282.61,-28315.2,0
ACC-00000002,07/31/2021,-27491.74,-27393.5,0
ACC-00000002,2021-08-31,-28984.2,-28884.86,0
ACC-00000002,2021-09-30,-29294.56,-29214.98,0
ACC-00000002,10/31/2021,-30439.99,-30475.61,0
ACC-00000002,2021-11-30,-31055.51,-30966.53,0
ACC-99999999,2021-12-31,-31293.15,-31230.15,0
ACC-00000002,2022-01-31,-30863.18,-30798.77,0
ACC-00000002,2022-02-28,-30583.09,-30594.83,0
ACC-00000002,03/31/2022,-31253.62,-31185.13,0
ACC-00000002,2022-04-30,-31029.66,-31030.76,0
ACC-00000002,2022-05-31,-31488.68,-31533.25,0
ACC-00000002,06/30/2022,-31315.93,-31329.94,0
ACC-00000002,2022-07-31,-31735.6,-31690.94,0
ACC-00000002,2022-08-31,-30885.33,-30861.39,0
ACC-00000002,09/30/2022,-31261.14,-31264.86,0
ACC-00000002,10/31/2022,-31467.08,-31421.84,0
ACC-00000002,2022-11-30,-31926.1,-31865.02,0
ACC-00000002,2022-12-31,-31695.06,-31718.17,0
ACC-00000002,01/31/2023,-32172.76,-32189.49,0
ACC-00000002,2023-02-28,-33086.2,-33036.96,0
ACC-00000002,2023-03-31,-32950.5,-32857.13,0
ACC-00000002,04/30/2023,-32836.75,-32748.26,0
ACC-00000002,05/31/2023,-33403.15,-33426.67,0
ACC-00000002,06/30/2023,-33850.38,-33804.07,0
ACC-00000002,2023-07-31,-34008.59,-33958.22,0
ACC-00000002,2023-08-31,-33750.09,-33688.15,0
ACC-00000002,2023-09-30,-32742.66,-32787.27,0
ACC-00000002,2023-10-31,-32487.77,-32522.06,0
ACC-00000002,11/30/2023,-32169.79,-32098.67,0
ACC-00000002,12/31/2023,-31429.9,-31333.19,0
ACC-00000002,01/31/2024,-31082.07,-31102.9,0
ACC-00000002,02/29/2024,-30257.77,-30242.72,0
ACC-00000002,2024-03-31,-30243.51,-30285.31,0
ACC-00000002,2024-04-30,-30124.65,-30131.9,0
ACC-00000002,05/31/2024,-30577.03,-30606.36,0
ACC-00000002,2024-06-30,-31126.21,-31172.62,0
ACC-00000002,2024-07-31,-31420.26,-31447.49,0
ACC-00000002,08/31/2024,-31052.81,-31018.17,0
ACC-00000002,2024-09-30,-30655.79,-30674.53,0
ACC-00000002,2024-10-31,-30690.44,-30714.46,0
ACC-00000002,11/30/2024,-30164.9,-30150.55,0
ACC-00000002,12/31/2024,-30408.21,-30383.71,0
ACC-00000002,2025-01-31,-31006.87,-31002.88,0
ACC-00000002,2025-02-28,-30747.27,-30745.04,0
ACC-00000002,03/31/2025,-30653.74,-30650.38,0
ACC-00000002,2025-04-30,-30544.74,-30530.41,0
ACC-00000002,2025-05-31,-29695.61,-29623.54,0
ACC-00000002,2025-06-30,-29589.84,-29612.07,0
ACC-00000002,2025-07-31,-29133.24,-29113.3,0
ACC-00000002,2025-08-31,-30543.14,-30553.78,0
ACC-00000002,09/30/2025,-30452.24,-30431.39,0
ACC-00000002,10/31/2025,-31165.75,-31080.24,0
ACC-00000002,11/30/2025,-31297.04,-31214.24,0
ACC-00000002,2025-12-31,-31570.26,-31564.71,0
ACC-00000003,2019-03-19,-2866.22,-2825.01,0
ACC-00000003,04/30/2019,-3349.93,-3307.19,0
ACC-00000003,05/31/2019,-3220.48,-3135.2,0
ACC-00000003,06/30/2019,-3344.86,-3318.51,0
ACC-00000003,07/31/2019,-3665.18,-3612.28,0
ACC-00000003,2019-08-31,-3470.71,-3373.37,0
ACC-00000003,09/30/2019,-3308.55,-3341.2,0
ACC-00000003,10/31/2019,-3714.76,-3741.3,0
ACC-00000003,2019-11-30,-3689.35,-3713.18,0
ACC-00000003,12/31/2019,-3530.87,-3487.01,0
ACC-00000003,2020-01-31,-3988.69,-4008.9,0
ACC-00000003,2020-02-29,-4254.5,-4219.02,0
ACC-00000003,2020-03-31,-4427.01,-4423.0,0
ACC-00000003,04/30/2020,-4165.0,-4173.53,0
ACC-00000003,2020-05-31,-3810.96,-3858.41,0
ACC-00000003,2020-06-30,-3617.3,-3655.45,0
ACC-00000003,07/31/2020,-4375.28,-4326.54,0
ACC-00000003,08/31/2020,-4856.71,-4817.26,0
ACC-00000003,09/30/2020,-4606.68,-4565.64,0
ACC-00000003,2020-10-31,-4295.61,-4329.39,0
ACC-00000003,2020-11-30,-4310.73,-4299.73,0
ACC-00000003,2020-12-31,-4445.59,-4431.9,0
ACC-00000003,01/31/2021,-3991.33,-3941.09,0
ACC-00000003,02/28/2021,-4988.84,-4944.68,0
ACC-00000003,2021-03-31,-5254.27,-5220.92,0
ACC-00000003,04/30/2021,-4599.25,-4611.02,0
ACC-00000003,2021-05-31,-3956.61,-3969.64,0
ACC-00000003,06/30/2021,-4618.52,-4566.09,0
ACC-00000003,07/31/2021,-4951.26,-4910.83,0
ACC-00000003,08/31/2021,-4778.5,-4759.4,0
ACC-00000003,2021-09-30,-4906.06,-4937.0,0
ACC-00000003,10/31/2021,-4804.49,-4803.73,0
ACC-00000003,11/30/2021,-5536.03,-5458.35,0
ACC-00000003,12/31/2021,-5105.32,-5140.05,0
ACC-00000003,01/31/2022,-5110.78,-5060.49,0
ACC-00000003,2022-02-28,-5283.09,-5312.74,0
