account_id,customer_id,account_type,open_date,credit_limit,status,branch_code
ACC-00000001,CUST-1000001,checking,2024-06-09,0,active,BR-134
ACC-00000002,CUST-1000002,loan,2019-12-12,15031,active,BR-113
ACC-00000003,CUST-1000003,credit_card,2019-03-19,15536,closed,BR-179
ACC-00000004,CUST-1000004,savings,2025-04-22,0,active,BR-194
ACC-00000005,CUST-1000005,checking,2021-05-04,0,closed,BR-176
ACC-00000006,CUST-1000006,checking,2021-01-30,0,active,BR-172
ACC-00000007,CUST-1000007,checking,2020-11-24,0,active,BR-155
ACC-00000008,CUST-1000008,credit_card,2020-03-09,1446,closed,
ACC-00000009,CUST-1000009,savings,2025-04-07,0,active,BR-156
ACC-00000010,CUST-1000010,credit_card,2019-11-15,37683,active,BR-149
ACC-00000011,CUST-1000011,checking,2024-10-03,0,active,BR-106
ACC-00000012,CUST-1000012,loan,2025-04-20,49555,dormant,
ACC-00000013,CUST-1000013,credit_card,2023-08-22,18618,suspended,BR-131
ACC-00000014,CUST-1000014,checking,2019-09-28,0,active,BR-119
ACC-00000015,CUST-1000015,checking,2024-01-09,0,active,BR-147
ACC-00000016,CUST-1000016,checking,2022-08-03,0,suspended,BR-141
ACC-00000017,CUST-1000017,checking,2019-04-09,0,active,BR-113
ACC-00000018,CUST-1000018,savings,2019-04-03,0,active,BR-157
ACC-00000019,CUST-1000019,savings,2019-10-19,0,suspended,BR-168
ACC-00000020,CUST-1000020,checking,2020-11-10,0,active,BR-189
ACC-00000021,CUST-1000021,savings,2020-12-23,0,active,BR-148
ACC-00000022,CUST-1000022,checking,2023-04-20,0,active,BR-188
ACC-00000023,CUST-1000023,checking,2024-02-14,0,suspended,BR-111
ACC-00000024,CUST-1000024,checking,2019-03-24,0,dormant,BR-140
ACC-00000025,CUST-1000025,savings,2023-10-10,0,suspended,
ACC-00000026,CUST-1000026,credit_card,2020-09-09,7587,active,BR-170
ACC-00000027,CUST-1000027,checking,2025-02-02,0,closed,BR-132
ACC-00000028,CUST-1000028,savings,2024-07-12,0,closed,BR-160
ACC-00000029,CUST-1000029,savings,2024-12-18,0,active,BR-127
ACC-00000030,CUST-1000030,checking,2023-08-21,0,closed,BR-140
ACC-00000031,CUST-1000031,savings,2022-07-27,0,active,BR-148
ACC-00000032,CUST-1000032,checking,2020-11-15,0,active,BR-169
ACC-00000033,CUST-1000033,checking,2022-10-27,0,active,BR-197
ACC-00000034,CUST-1000034,loan,2024-01-05,32480,active,BR-184
ACC-00000035,CUST-1000035,loan,2021-05-14,33994,active,BR-121
ACC-00000036,CUST-1000036,credit_card,2025-11-19,21527,active,BR-165
ACC-00000037,CUST-1000037,checking,2019-01-21,0,active,
ACC-00000038,CUST-1000038,checking,2025-06-15,0,active,BR-150
ACC-00000039,CUST-1000039,savings,2025-11-08,0,active,BR-185
ACC-00000040,CUST-1000040,savings,2020-05-11,0,active,BR-139
ACC-00000041,CUST-1000041,checking,2024-12-09,0,active,BR-158
