account_id,balance_date,available_balance,ledger_balance,overdraft_count
ACC-00000001,2024-06-09,1225.03,1211.73,0
ACC-00000001,2024-07-31,1608.39,1654.98,0
ACC-00000001,2024-08-31,1803.81,1886.56,0
ACC-00000001,2024-09-30,2489.93,2471.64,0
ACC-00000001,2024-10-31,2855.17,2929.57,0
ACC-00000001,2024-11-30,2194.89,2225.79,0
ACC-00000001,2024-12-31,1898.29,1856.42,0
ACC-00000001,2025-01-31,2314.52,2342.21,0
ACC-00000001,2025-02-28,2266.26,2218.94,0
ACC-00000001,2025-03-31,2003.2,1986.95,0
ACC-00000001,2025-04-30,1559.04,1526.17,0
ACC-00000001,2025-05-31,1431.87,1505.93,0
ACC-00000001,2025-06-30,1466.08,1538.26,0
ACC-00000001,2025-07-31,1383.06,1352.67,0
ACC-00000001,2025-08-31,1648.76,1646.11,0
ACC-00000001,2025-09-30,1076.71,1098.18,0
ACC-00000001,2025-10-31,995.62,1038.57,0
ACC-00000001,2025-11-30,1070.89,1162.25,0
ACC-00000001,2025-12-31,1344.97,1328.04,0
ACC-00000002,2019-12-12,-16545.11,-16580.31,0
ACC-00000002,2020-01-31,-16757.25,-16748.89,0
ACC-00000002,2020-02-29,-16821.38,-16788.06,0
ACC-00000002,2020-03-31,-17088.02,-17124.93,0
ACC-00000002,2020-04-30,-16772.14,-16731.68,0
ACC-00000002,2020-05-31,-15719.54,-15753.19,0
ACC-00000002,2020-06-30,-14371.36,-14347.28,0
ACC-00000002,2020-07-31,-14496.92,-14537.6,0
ACC-00000002,2020-08-31,-15060.58,-14982.05,0
ACC-00000002,2020-09-30,-14860.26,-14762.88,0
ACC-00000002,2020-10-31,-14572.48,-14614.41,0
ACC-00000002,2020-11-30,-14079.82,-14110.83,0
ACC-00000002,2020-12-31,-13880.11,-13842.39,0
ACC-00000002,2021-01-31,-14491.35,-14404.47,0
ACC-00000002,2021-02-28,-15501.74,-15470.94,0
ACC-00000002,2021-03-31,-14925.9,-14870.92,0
ACC-00000002,2021-04-30,-14507.1,-14488.02,0
ACC-00000002,2021-05-31,-14981.49,-14921.82,0
ACC-00000002,2021-06-30,-15479.24,-15435.34,0
ACC-00000002,2021-07-31,-14582.92,-14516.7,0
ACC-00000002,2021-08-31,-14084.36,-14022.11,0
ACC-00000002,2021-09-30,-14223.42,-14233.83,0
ACC-00000002,2021-10-31,-14624.06,-14593.33,0
ACC-00000002,2021-11-30,-14778.23,-14710.82,0
ACC-00000002,2021-12-31,-15043.59,-15085.86,0
ACC-00000002,2022-01-31,-14751.95,-14709.31,0
ACC-00000002,2022-02-28,-14641.89,-14584.99,0
ACC-00000002,2022-03-31,-14961.45,-14924.3,0
ACC-00000002,2022-04-30,-14625.19,-14628.83,0
ACC-00000002,2022-05-31,-14998.28,-14960.46,0
ACC-00000002,2022-06-30,-15302.16,-15232.98,0
ACC-00000002,2022-07-31,-15398.71,-15392.78,0
ACC-00000002,2022-08-31,-14890.52,-14837.42,0
ACC-00000002,2022-09-30,-15247.39,-15252.8,0
ACC-00000002,2022-10-31,-14841.8,-14811.79,0
ACC-00000002,2022-11-30,-13950.45,-13924.78,0
ACC-00000002,2022-12-31,-14191.34,-14224.6,0
ACC-00000002,2023-01-31,-13740.3,-13700.29,0
ACC-00000002,2023-02-28,-13172.97,-13147.63,0
ACC-00000002,2023-03-31,-11761.44,-11808.06,0
ACC-00000002,2023-04-30,-11537.45,-11525.65,0
ACC-00000002,2023-05-31,-11613.85,-11532.56,0
ACC-00000002,2023-06-30,-10866.3,-10819.58,0
ACC-00000002,2023-07-31,-10519.36,-10465.93,0
ACC-00000002,2023-08-31,-10216.16,-10153.76,0
ACC-00000002,2023-09-30,-9977.83,-9942.85,0
ACC-00000002,2023-10-31,-9055.38,-9076.9,0
ACC-00000002,2023-11-30,-9319.2,-9288.84,0
ACC-00000002,2023-12-31,-8859.38,-8871.95,0
ACC-00000002,2024-01-31,-8618.19,-8583.06,0
ACC-00000002,2024-02-29,-8006.71,-7983.25,0
