transaction_id,account_id,transaction_date,transaction_time,amount,transaction_type,merchant_category,merchant_name,channel
TXN-0000000001,ACC-00000001,2025-02-13,19:24:14,-64.31,purchase,utilities,Mcguire-Davis,online
TXN-0000000002,ACC-00000001,2024-08-17,10:40:03,427.56,transfer,,,online
TXN-0000000003,ACC-00000001,2025-04-07,15:28:35,-5.11,purchase,fuel,"Sanchez, Beck and Wood",mobile
TXN-0000000004,ACC-00000001,2024-12-17,03:16:10,72.44,transfer,,,mobile
TXN-0000000005,ACC-00000001,2025-05-19,03:16:17,41.63,transfer,,,atm
TXN-0000000006,ACC-00000001,2025-01-31,07:09:08,-12.68,purchase,entertainment,Barajas-Pierce,online
TXN-0000000007,ACC-00000001,2025-01-31,13:18:21,-32.58,withdrawal,,,atm
TXN-0000000008,ACC-00000001,2025-06-03,22:02:10,-14.37,purchase,healthcare,Nelson-King,branch
TXN-0000000009,ACC-00000002,2021-12-12,14:51:59,-1.15,interest,,,online
TXN-0000000010,ACC-00000002,2024-04-16,23:18:08,-5.53,purchase,grocery,Stewart Ltd,mobile
TXN-0000000011,ACC-00000002,2021-06-15,07:48:46,-4.0,interest,,,mobile
TXN-0000000012,ACC-00000002,2023-11-30,02:35:48,76.09,payment,,,atm
TXN-0000000013,ACC-00000002,2021-10-19,22:11:09,26.24,payment,,,online
TXN-0000000014,ACC-00000002,2025-07-10,10:27:11,-37.72,purchase,grocery,Robinson Group,atm
TXN-0000000015,ACC-00000002,2021-04-20,14:09:35,-10.21,purchase,travel,"Lawrence, Wolf and Carlson",online
TXN-0000000016,ACC-00000002,2021-09-26,19:38:52,124.91,payment,,,mobile
TXN-0000000017,ACC-00000002,2024-10-22,15:49:38,-9.03,purchase,travel,Perez-White,mobile
TXN-0000000018,ACC-00000002,2025-08-15,21:28:39,-28.18,fee,,,online
TXN-0000000019,ACC-00000002,2021-01-04,02:17:42,-25.56,purchase,grocery,"Martinez, Williams and Brown",branch
TXN-0000000020,ACC-00000003,2025-12-18,19:54:45,-21.76,purchase,fuel,"Raymond, Little and Mullins",online
TXN-0000000021,ACC-00000003,2023-11-11,12:08:53,-36.78,purchase,entertainment,Andrews Group,mobile
TXN-0000000022,ACC-00000003,2025-10-23,21:52:31,-38.15,interest,,,mobile
TXN-0000000023,ACC-00000003,2022-05-13,00:33:46,-15.67,purchase,retail,Lopez-Williams,mobile
TXN-0000000024,ACC-00000003,2023-12-26,15:37:43,19.71,payment,,,online
TXN-0000000025,ACC-00000004,2025-12-14,19:05:18,35.62,deposit,,,phone
TXN-0000000026,ACC-00000004,2025-09-27,02:52:33,-7.79,fee,,,online
TXN-0000000027,ACC-00000004,2026-01-10,19:59:09,-0.68,purchase,entertainment,Vasquez-Ray,mobile
TXN-0000000028,ACC-00000004,2025-12-07,11:03:28,-7.43,withdrawal,,,mobile
TXN-0000000029,ACC-00000004,2025-11-28,20:56:47,-83.26,purchase,travel,Hernandez PLC,atm
TXN-0000000030,ACC-00000004,2025-08-21,23:31:50,-16.4,purchase,retail,Mcknight Inc,mobile
TXN-0000000031,ACC-00000004,2025-04-27,11:37:09,-18.45,purchase,utilities,Obrien-Gibbs,online
TXN-0000000032,ACC-00000004,2025-11-09,23:13:12,-125.02,withdrawal,,,online
TXN-0000000033,ACC-00000004,2025-08-05,20:55:03,-192.76,purchase,entertainment,"James, Kerr and Evans",branch
TXN-0000000034,ACC-00000005,2024-01-30,11:00:09,-7.11,purchase,retail,Torres-Oliver,online
TXN-0000000035,ACC-00000005,2024-11-17,00:28:10,-39.07,withdrawal,,,online
TXN-0000000036,ACC-00000005,2024-04-08,06:15:01,-3.57,purchase,travel,Meza and Sons,mobile
TXN-0000000037,ACC-00000005,2023-11-13,16:12:16,-1.46,purchase,restaurant,Baker Inc,branch
TXN-0000000038,ACC-00000005,2024-02-14,21:09:08,-392.14,withdrawal,,,online
TXN-0000000039,ACC-00000006,2024-11-08,03:49:16,-9.72,withdrawal,,,online
TXN-0000000040,ACC-00000006,2022-03-10,20:12:03,21.8,transfer,,,online
TXN-0000000041,ACC-00000006,2025-11-09,07:55:33,-8.24,purchase,fuel,Moore Group,mobile
TXN-0000000042,ACC-00000006,2025-12-13,11:34:52,-17.13,purchase,entertainment,"Wheeler, Carter and Hall",atm
TXN-0000000043,ACC-00000006,2022-11-16,01:04:38,-7.28,purchase,utilities,Warner-Gibson,mobile
TXN-0000000044,ACC-00000006,2025-10-19,07:11:34,-90.64,purchase,travel,Bradshaw Ltd,online
TXN-0000000045,ACC-00000006,2025-03-07,16:03:31,-4.35,purchase,travel,"Lara, Gonzalez and Wilson",online
TXN-0000000046,ACC-00000006,2022-08-27,07:28:39,-81.58,purchase,retail,"Hernandez, Baker and Thomas",mobile
TXN-0000000047,ACC-00000006,2025-05-27,00:47:48,18.89,deposit,,,atm
TXN-0000000048,ACC-00000006,2021-04-29,10:55:26,-6.9,purchase,retail,Larson-Holloway,online
TXN-0000000049,ACC-00000006,2024-05-12,05:14:19,0.7,transfer,,,online
TXN-0000000050,ACC-00000006,2021-09-14,19:50:41,-11.45,withdrawal,,,mobile
TXN-0000000051,ACC-00000006,2022-05-05,13:13:37,-50.03,withdrawal,,,online
TXN-0000000052,ACC-00000007,2024-02-24,07:33:03,-58.64,purchase,utilities,"Torres, Powell and Nelson",mobile
TXN-0000000053,ACC-00000007,2023-07-16,08:19:18,3.8,deposit,,,atm
TXN-0000000054,ACC-00000007,2024-11-13,13:20:12,-80.73,withdrawal,,,online
TXN-0000000055,ACC-00000007,2022-05-11,22:33:18,-6.65,purchase,fuel,George Group,mobile
TXN-0000000056,ACC-00000007,2022-06-28,08:18:43,31.5,transfer,,,atm
TXN-0000000057,ACC-00000007,2021-04-20,09:13:02,-11.44,withdrawal,,,online
TXN-0000000058,ACC-00000008,2025-03-16,18:38:35,-118.34,purchase,travel,Johnson-Perez,phone
TXN-0000000059,ACC-00000008,2023-05-23,12:51:31,-129.19,purchase,entertainment,"Matthews, Smith and Hubbard",branch
TXN-0000000060,ACC-00000008,2023-12-01,17:35:19,-7.0,interest,,,atm
TXN-0000000061,ACC-00000008,2020-09-11,08:33:03,-1.28,purchase,grocery,"Williams, Avila and Ruiz",mobile
TXN-0000000062,ACC-00000009,2025-07-22,10:43:12,-6.19,purchase,fuel,Moon-White,mobile
TXN-0000000063,ACC-00000009,2025-04-10,23:31:13,-1.64,withdrawal,,,mobile
TXN-0000000064,ACC-00000009,2025-05-23,13:07:43,-25.53,purchase,restaurant,"Olsen, Costa and Harrison",atm
TXN-0000000065,ACC-00000009,2025-07-21,10:12:15,27.67,transfer,,,mobile
TXN-0000000066,ACC-00000009,2025-10-05,22:42:38,-76.87,withdrawal,,,mobile
TXN-0000000067,ACC-00000009,2025-10-05,22:47:07,-79.6,purchase,entertainment,"Garcia, Martin and Jenkins",mobile
TXN-0000000068,ACC-00000009,2025-11-17,16:36:47,-6.37,withdrawal,,,atm
TXN-0000000069,ACC-00000009,2025-05-18,18:13:28,-3.5,purchase,grocery,"Landry, Cervantes and Pierce",atm
TXN-0000000070,ACC-00000009,2026-01-14,17:42:42,136.14,deposit,,,online
TXN-0000000071,ACC-00000009,2025-07-04,08:47:29,29.17,transfer,,,online
TXN-0000000072,ACC-00000009,2025-11-18,09:46:41,2.62,deposit,,,mobile
TXN-0000000073,ACC-00000010,2023-09-24,08:37:16,-26.5,purchase,entertainment,Wilson-Barton,online
TXN-0000000074,ACC-00000010,2025-01-19,11:37:34,-82.01,purchase,healthcare,Sandoval PLC,atm
TXN-0000000075,ACC-00000010,2020-10-11,15:34:14,-75.32,purchase,entertainment,Brown-Stone,branch
TXN-0000000076,ACC-00000010,2022-12-08,11:13:14,-57.56,purchase,retail,Garrett-Wolf,mobile
TXN-0000000077,ACC-00000010,2020-05-27,10:25:39,-14.13,purchase,entertainment,Dunn-Pennington,mobile
TXN-0000000078,ACC-00000010,2024-09-27,01:12:58,-24.92,purchase,travel,"Washington, Johnson and Mccoy",online
TXN-0000000079,ACC-00000010,2022-05-14,18:29:50,-27.21,fee,,,branch
TXN-0000000080,ACC-00000010,2023-07-10,17:56:53,-13.99,fee,,,mobile
TXN-0000000081,ACC-00000010,2025-10-10,12:15:22,7.23,payment,,,online
TXN-0000000082,ACC-00000010,2019-12-27,17:27:27,-80.15,purchase,travel,Pierce-Tran,online
TXN-0000000083,ACC-00000010,2021-03-04,08:23:18,-20.85,purchase,utilities,Gay Inc,branch
TXN-0000000084,ACC-00000010,2024-06-09,04:34:06,-12.8,purchase,healthcare,Holland and Sons,atm
TXN-0000000085,ACC-00000011,2025-08-23,14:12:29,-12.24,purchase,retail,"Carter, Thornton and Perry",online
TXN-0000000086,ACC-00000011,2025-01-06,01:58:21,-14.62,purchase,travel,Sanchez-Arnold,phone
TXN-0000000087,ACC-00000011,2026-01-04,15:30:50,-136.38,withdrawal,,,online
TXN-0000000088,ACC-00000011,2025-01-21,03:59:40,-33.35,purchase,restaurant,"Romero, Suarez and Shields",mobile
TXN-0000000089,ACC-00000011,2025-08-24,22:40:14,-4.58,withdrawal,,,atm
TXN-0000000090,ACC-00000011,2025-04-17,17:02:36,-168.65,withdrawal,,,mobile
TXN-0000000091,ACC-00000011,2025-01-19,14:41:57,-12.36,purchase,fuel,Morgan-French,atm
TXN-0000000092,ACC-00000011,2025-03-24,20:49:44,401.41,deposit,,,mobile
TXN-0000000093,ACC-00000011,2025-12-17,09:59:18,-459.01,purchase,healthcare,Campbell LLC,online
TXN-0000000094,ACC-00000012,2025-12-15,11:49:45,-4.38,purchase,travel,"Duarte, Burns and Hernandez",mobile
TXN-0000000095,ACC-00000013,2024-03-19,08:53:29,52.67,payment,,,online
TXN-0000000096,ACC-00000013,2025-10-08,14:33:47,-38.94,purchase,fuel,Cook-Hines,branch
TXN-0000000097,ACC-00000013,2025-04-22,10:01:19,-3.9,purchase,healthcare,Cantu-Kane,mobile
TXN-0000000098,ACC-00000013,2024-03-28,13:03:20,190.97,payment,,,atm
TXN-0000000099,ACC-00000013,2024-11-06,07:34:20,-91.47,purchase,retail,"Reyes, Chase and Jenkins",mobile
TXN-0000000100,ACC-00000013,2025-05-11,01:48:26,-61.78,purchase,entertainment,"Kennedy, Mcintyre and James",online
TXN-0000000101,ACC-00000013,2026-01-26,01:13:36,-9.28,interest,,,phone
TXN-0000000102,ACC-00000013,2024-05-07,12:20:28,-74.19,purchase,grocery,"Pollard, Simpson and Johnson",mobile
TXN-0000000103,ACC-00000013,2025-05-16,08:20:41,-27.86,purchase,travel,"Rivera, Garcia and Kirk",online
TXN-0000000104,ACC-00000013,2023-10-14,16:16:23,-4.63,purchase,grocery,"Lozano, Smith and Thomas",mobile
TXN-0000000105,ACC-00000014,2020-06-26,23:38:32,-16.37,purchase,grocery,Jones LLC,mobile
