account_id,customer_id,account_type,open_date,credit_limit,status,branch_code,fico_score,credit_history_months,num_inquiries_6mo,num_delinquencies_24mo,credit_utilization_pct,num_active_credit_lines,annual_income,employment_status,employment_tenure_months,debt_to_income_ratio,age,zip_code,region,account_tenure_months,default_probability,defaulted,default_date,feat_avg_balance,feat_balance_std,feat_min_balance,feat_max_balance,feat_avg_ledger_balance,feat_total_overdrafts,feat_avg_monthly_overdrafts,feat_balance_trend,feat_num_transactions,feat_avg_transaction_amount,feat_transaction_amount_std,feat_total_transaction_volume,feat_num_debits,feat_total_debits,feat_num_credits,feat_total_credits,feat_credit_to_debit_ratio,feat_transactions_per_month,feat_spending_entertainment,feat_spending_fuel,feat_spending_grocery,feat_spending_healthcare,feat_spending_restaurant,feat_spending_retail,feat_spending_travel,feat_spending_utilities,feat_discretionary_spending,feat_essential_spending,feat_discretionary_ratio,feat_channel_atm,feat_channel_branch,feat_channel_mobile,feat_channel_online,feat_channel_phone,feat_digital_channel_pct,feat_num_txn_3mo,feat_avg_balance_3mo,feat_num_txn_6mo,feat_avg_balance_6mo,feat_num_txn_12mo,feat_avg_balance_12mo,feat_txn_trend,feat_balance_trend_3mo_vs_12mo,feat_days_since_last_txn
ACC-00000001,CUST-1000001,savings,2019-06-12,0,active,BR-136,717.0,59,2,0,40.7,3,,student,0,18.0,32,80055,B,55,0.0385,0,,8780.504727272728,1461.4688420505745,6653.22,12073.72,8812.308545454545,0,0.0,3082.593397435896,15.0,-95.48466666666668,193.37772913825071,-1432.27,12.0,-1597.15,3.0,164.88,0.1032338853582944,0.2727272727272727,138.78,0.0,42.11,644.72,339.76,0.0,20.65,0.0,499.19,686.83,0.420895094517799,3.0,0.0,4.0,1.0,0.0,0.625,2.0,11694.956666666663,2.0,11447.551666666666,5.0,10592.406666666668,0.3333333333333333,0.1040788893217225,52.0
ACC-00000002,CUST-1000002,checking,2021-04-11,0,active,BR-120,614.0,83,0,0,70.2,7,103800.0,employed,69,6.5,32,90042,A,33,0.0521,0,,5365.442424242425,2701.1825878145837,2196.06,10898.18,5407.443636363636,0,0.0,5071.206333333333,8.0,-64.795,136.8472388155076,-518.36,8.0,-518.36,0.0,0.0,0.0,0.2424242424242424,8.74,26.68,0.0,2.53,62.32,0.0,0.0,0.0,71.06,2.53,0.9656203288490284,0.0,1.0,2.0,2.0,0.0,0.8,1.0,9975.63,2.0,10012.768333333332,2.0,8452.853333333334,0.3333333333333333,0.1801281151474907,36.0
ACC-00000003,CUST-1000003,chekcing,2019-09-28,0,closed,BR-129,532.0,85,2,0,23.8,7,40480.0,student,0,23.2,61,80014,B,51,0.0857,1,2024-05-13,3932.544615384616,1401.5033241521944,1303.13,5964.87,3952.4225,0,0.0,-732.3170068027212,4.0,26.0525,76.49713213578664,104.21,3.0,-36.56,1.0,140.77,3.850382932166302,0.0784313725490196,0.0,0.0,23.58,0.0,0.0,12.98,0.0,0.0,12.98,23.58,0.3550328227571115,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3242.476666666667,0.0,3402.3566666666666,2.0,2805.083333333333,-0.3333333333333333,0.155873251566537,205.0
ACC-00000004,CUST-1000004,savings,2022-06-19,0,active,BR-168,762.0,77,2,0,50.8,5,59650.0,retired,12,4.0,80,70073,C,18,0.0341,0,,3926.426842105264,561.7211858609473,3015.75,5142.71,3947.7989473684206,0,0.0,-148.29916666666668,8.0,-181.5975,180.94651409818792,-1452.78,7.0,-1473.15,1.0,20.37,0.0138275124732715,0.4444444444444444,0.0,433.04,0.0,0.0,452.75,7.39,0.0,138.52,460.14,138.52,0.7686165770220158,1.0,1.0,2.0,1.0,0.0,0.6,2.0,3801.543333333333,4.0,3680.98,6.0,3616.885,0.2,0.0510404098895716,74.0
ACC-00000005,CUST-1000005,credit_card,2021-04-08,40575,active,BR-140,803.0,22,1,0,10.3,3,50966.0,self_employed,57,5.3,37,90037,A,33,0.0095,0,,-3098.4500000000003,975.1199048065832,-4782.62,-1241.89,-3070.597272727273,0,0.0,1860.1476666666667,10.0,10.221,73.24017165008104,102.21,8.0,-177.9,2.0,280.11,1.5745362563237777,0.303030303030303,0.0,0.0,0.0,1.54,37.31,0.0,26.09,104.51,63.400000000000006,106.05,0.3741516671584539,4.0,0.0,1.0,2.0,0.0,0.4285714285714285,3.0,-1407.4066666666668,3.0,-1534.888333333333,6.0,-2159.9333333333334,0.6,0.3482415005861664,48.0
ACC-00000006,CUST-1000006,savings,2019-12-01,0,active,BR-183,770.0,18,1,0,45.9,6,73756.0,unemployed,0,10.6,60,80090,B,49,0.0219,0,,8831.895714285714,667.4088499282137,7659.69,10595.18,8857.11918367347,0,0.0,1051.146884057971,14.0,-52.67785714285714,117.04037470223496,-737.49,13.0,-755.4200000000001,1.0,17.93,0.0237351407164226,0.2857142857142857,61.76,42.22,69.03999999999999,75.7,0.0,0.0,0.0,10.97,61.76,155.71,0.2839931944636041,3.0,0.0,1.0,4.0,1.0,0.5555555555555556,2.0,9818.686666666666,2.0,9972.606666666668,3.0,9599.240833333331,0.7142857142857143,0.0228583675288007,15.0
ACC-00000007,CUST-1000007,loan,2019-04-29,10833,active,BR-103,746.0,60,4,0,7.2,9,47389.0,employed,36,30.2,34,90073,A,56,0.0243,0,,-16038.662456140351,1511.4483726725746,-18713.52,-12645.96,-16008.04087719298,0,0.0,280.1962962962971,8.0,13.078749999999996,93.14766716463856,104.62999999999997,6.0,-188.87,2.0,293.5,1.553978927304495,0.1428571428571428,2.01,0.0,0.0,28.82,148.82,0.0,9.22,0.0,160.04999999999998,28.82,0.8474082702387886,0.0,1.0,2.0,2.0,1.0,0.6666666666666666,0.0,-15773.213333333331,1.0,-15488.843333333332,1.0,-15758.4575,-0.2,-0.0009363160713707,115.0
ACC-00000008,CUST-1000008,savings,2022-03-23,0,closed,BR-132,752.0,58,1,0,41.3,5,101264.0,unemployed,0,13.6,73,90007,A,21,0.0214,0,,6950.0368181818185,447.56954544875305,6090.17,7638.15,6968.355,0,0.0,752.7626315789457,5.0,-89.766,115.0548889878218,-448.83,5.0,-448.83,0.0,0.0,0.0,0.238095238095238,0.0,1.65,0.0,258.90000000000003,0.0,0.0,14.6,0.0,14.6,258.90000000000003,0.0533820840950639,1.0,1.0,2.0,0.0,0.0,0.5,1.0,7600.149999999999,1.0,7476.818333333333,3.0,7101.778333333333,0.1428571428571428,0.0701657356147253,40.0
ACC-00000011,CUST-1000011,checking,2021-10-29,0,active,BR-101,766.0,65,2,2,32.6,6,48529.0,retired,29,22.4,67,90091,A,26,0.0391,0,,11032.349629629629,963.2625581783602,9274.29,13000.58,11061.242592592593,0,0.0,1432.864166666668,6.0,-40.11666666666667,40.47335699774194,-240.7,6.0,-240.7,0.0,0.0,0.0,0.2307692307692307,26.72,59.25,34.01,0.0,120.72,0.0,0.0,0.0,147.44,34.01,0.812565445026178,2.0,0.0,2.0,2.0,0.0,0.6666666666666666,2.0,12306.006666666668,3.0,12540.476666666667,4.0,11806.175833333333,0.5,0.0423328017121792,38.0
ACC-00000012,CUST-1000012,credit_card,2021-11-24,26938,active,BR-146,660.0,52,2,0,22.2,5,115719.0,employed,38,7.6,64,80079,B,25,0.0452,0,,582.4711538461538,564.0226806172029,-367.16,1456.21,607.4611538461538,0,0.0,483.73057971014487,5.0,-150.542,233.86425201385524,-752.71,5.0,-752.71,0.0,0.0,0.0,0.2,0.0,0.0,592.56,120.51,0.0,0.0,0.0,39.64,0.0,752.7099999999999,0.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1010.3866666666668,1.0,438.605,2.0,464.7091666666667,0.3333333333333333,1.1717130326330274,8.0
ACC-00000013,CUST-1000013,savings,2019-06-11,0,active,BR-114,616.0,45,0,0,5.7,3,21851.0,self_employed,6,20.4,39,80022,B,55,0.0593,0,,7720.526181818182,1186.5292377888309,5303.07,9672.56,7748.38,0,0.0,985.7344871794876,5.0,32.39,79.49303177008662,161.95,2.0,-95.14,3.0,257.09,2.702228295143998,0.0909090909090909,63.86,0.0,0.0,31.28,0.0,0.0,0.0,0.0,63.86,31.28,0.6712213579987387,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8652.493333333334,0.0,8352.48,0.0,8744.694166666666,0.0,-0.0105424259728572,492.0
ACC-00000014,CUST-1000014,checking,2020-05-11,0,closed,BR-101,572.0,81,2,0,19.1,8,40420.0,employed,9,25.8,41,90087,A,44,0.0606,0,,8031.125227272728,1201.2863518890206,6356.2,10719.46,8047.8095454545455,0,0.0,-1423.6309756097562,3.0,-77.35333333333334,82.47550262552713,-232.06,3.0,-232.06,0.0,0.0,0.0,0.0681818181818181,60.54,4.58,0.0,0.0,0.0,0.0,0.0,0.0,60.54,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6704.56,0.0,6823.143333333333,0.0,8244.2225,0.0,-0.1867338934758885,472.0
ACC-00000015,CUST-1000015,checking,2020-02-24,0,active,BR-109,638.0,231,2,0,41.2,4,129175.0,self_employed,9,1.9,73,90031,A,46,0.0401,0,,9724.049787234042,808.1323457892425,7949.6,11072.77,9755.922978723404,0,0.0,1252.361515151515,14.0,-10.981428571428568,166.25154110828302,-153.73999999999995,9.0,-761.02,5.0,607.28,0.7979816561982602,0.3043478260869565,4.05,0.0,0.0,0.0,150.36,565.62,0.0,0.0,720.03,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.5714285714285714,1.0,10896.473333333332,2.0,10129.976666666667,3.0,9649.448333333332,0.1428571428571428,0.1292193851442827,35.0
ACC-00000016,CUST-1000016,credit_card,2021-11-13,47078,active,BR-159,594.0,72,1,1,47.2,4,45580.0,employed,7,8.7,59,80074,B,25,0.0978,0,,-2224.585384615385,585.7550286816547,-2964.08,-871.8,-2209.848076923077,0,0.0,-259.2101449275365,6.0,-15.89333333333333,45.81257673026771,-95.36,5.0,-164.64,1.0,69.28,0.4207968901846453,0.24,31.73,0.0,0.0,0.0,15.25,34.73,0.0,82.92999999999999,81.71000000000001,82.92999999999999,0.4962949465500487,0.0,0.0,3.0,1.0,1.0,0.8,3.0,-2453.8866666666668,3.0,-2355.705,3.0,-2153.8941666666665,1.2857142857142858,-0.1392144935192101,27.0
ACC-00000018,CUST-1000018,checking,2021-11-03,0,active,BR-182,620.0,106,5,0,6.9,4,20229.0,employed,24,4.7,77,70081,C,26,0.0759,1,2024-07-15,4775.763461538461,730.4695230326437,3682.97,6309.63,4808.815384615385,0,0.0,1479.335797101449,12.0,-13.495833333333332,87.17638602890469,-161.95,9.0,-452.99,3.0,291.04,0.6424865891079273,0.4615384615384615,27.57,72.51,0.0,178.34,57.14,0.0,4.38,0.0,89.09,178.34,0.3331339041992297,1.0,0.0,2.0,1.0,1.0,0.6,3.0,6084.406666666667,5.0,5796.823333333334,6.0,5161.293333333333,0.6,0.1788184579463391,17.0
ACC-00000019,CUST-1000019,savngs,2021-01-31,0,active,BR-155,618.0,23,1,0,31.5,6,15000.0,retired,83,71.5,80,80066,B,35,0.0897,0,,118.95888888888892,925.7387528571912,-1000.0,1698.95,154.76361111111112,44,1.2222222222222223,574.1212121212121,10.0,28.65500000000001,237.1701209048054,286.55000000000007,7.0,-461.45,3.0,748.0,1.6209773539928487,0.2857142857142857,6.69,0.0,0.0,44.85,0.0,0.0,33.69,372.89,40.38,417.74,0.0881428446695189,1.0,0.0,3.0,1.0,1.0,0.6666666666666666,0.0,645.2366666666667,1.0,118.545,5.0,-290.6791666666667,-0.5555555555555556,3.2087167692813163,130.0
ACC-00000021,CUST-1000021,savings,2019-01-06,0,dormant,BR-119,749.0,55,6,0,38.0,5,94855.0,retired,55,4.9,80,90025,A,60,0.0202,0,,1236.8026666666667,1831.1247131711125,-1000.0,5429.21,1263.7503333333334,50,0.8333333333333334,4261.670877192983,2.0,-58.225,73.53203417558908,-116.45,2.0,-116.45,0.0,0.0,0.0,0.0333333333333333,116.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.45,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,5285.39,0.0,5125.596666666667,0.0,4110.221666666667,0.0,0.2858440698689318,560.0
