account_id,customer_id,account_type,open_date,credit_limit,status,branch_code,fico_score,credit_history_months,num_inquiries_6mo,num_delinquencies_24mo,credit_utilization_pct,num_active_credit_lines,annual_income,employment_status,employment_tenure_months,debt_to_income_ratio,age,zip_code,region,account_tenure_months,default_probability,defaulted,default_date
ACC-00000001,CUST-1000001,checking,2024-06-09,0,active,BR-134,669,41,4,0,46.3,4,51689,employed,62,23.1,38,80057,B,20,0.0522,0,
ACC-00000002,CUST-1000002,loan,2019-12-12,15031,active,BR-113,660,126,3,2,19.6,9,39611,employed,8,33.7,28,80051,B,74,0.1159,0,
ACC-00000003,CUST-1000003,credit_card,2019-03-19,15536,closed,BR-179,652,36,1,1,34.4,3,90392,employed,90,1.9,45,80036,B,83,0.0678,0,
ACC-00000004,CUST-1000004,savings,2025-04-22,0,active,BR-194,630,50,1,1,10.5,2,135894,employed,9,11.7,27,70058,C,9,0.1229,0,
ACC-00000005,CUST-1000005,checking,2021-05-04,0,closed,BR-176,766,57,4,1,7.9,3,29549,retired,19,35.5,36,80052,B,57,0.0379,1,2026-09-27
ACC-00000006,CUST-1000006,checking,2021-01-30,0,active,BR-172,716,80,0,0,22.5,5,42375,employed,46,21.9,48,80045,B,60,0.036,0,
ACC-00000007,CUST-1000007,checking,2020-11-24,0,active,BR-155,541,38,2,0,20.2,5,47123,employed,31,15.9,52,80098,B,63,0.0762,0,
ACC-00000008,CUST-1000008,credit_card,2020-03-09,1446,closed,,620,156,1,2,17.7,4,55463,employed,27,10.1,77,90015,A,71,0.0862,0,
ACC-00000009,CUST-1000009,savings,2025-04-07,0,active,BR-156,610,87,1,0,81.1,5,29711,employed,82,23.2,80,90037,A,10,0.0593,1,2026-08-31
ACC-00000010,CUST-1000010,credit_card,2019-11-15,37683,active,BR-149,675,31,1,0,38.8,2,42381,employed,29,16.5,53,90061,A,75,0.0371,0,
ACC-00000011,CUST-1000011,checking,2024-10-03,0,active,BR-106,726,30,2,0,13.1,3,191566,employed,57,10.8,21,90044,A,16,0.0259,0,
ACC-00000012,CUST-1000012,loan,2025-04-20,49555,dormant,,659,39,0,0,6.3,6,72620,employed,49,16.5,24,80001,B,9,0.0498,0,
ACC-00000013,CUST-1000013,credit_card,2023-08-22,18618,suspended,BR-131,632,78,0,0,5.5,3,24472,employed,44,26.5,50,90023,A,29,0.0454,0,
ACC-00000014,CUST-1000014,checking,2019-09-28,0,active,BR-119,568,121,2,0,15.3,3,99547,self_employed,32,2.2,63,70087,C,77,0.0909,0,
ACC-00000015,CUST-1000015,checking,2024-01-09,0,active,BR-147,799,29,3,0,11.4,2,136001,employed,120,2.4,48,70074,C,25,0.0181,0,
