account_id,balance_date,available_balance,ledger_balance,overdraft_count
ACC-00000001,2024-06-09,5449.34,5475.83,0
ACC-00000001,2024-07-31,5085.41,5048.87,0
ACC-00000001,2024-08-31,6072.05,6079.98,0
ACC-00000001,2024-09-30,7189.25,7157.0,0
ACC-00000001,2024-10-31,6987.34,7086.56,0
ACC-00000001,2024-11-30,7981.44,8067.67,0
ACC-00000001,2024-12-31,7842.35,7797.13,0
ACC-00000001,2025-01-31,8298.76,8257.37,0
ACC-00000001,2025-02-28,9445.08,9499.04,0
ACC-00000001,2025-03-31,9802.61,9807.01,0
ACC-00000001,2025-04-30,9308.12,9373.64,0
ACC-00000001,2025-05-31,8537.13,8635.99,0
ACC-00000001,2025-06-30,8488.22,8537.15,0
ACC-00000001,2025-07-31,8270.25,8239.46,0
ACC-00000001,2025-08-31,7042.76,7068.56,0
ACC-00000001,2025-09-30,6818.88,6842.64,0
ACC-00000001,2025-10-31,6273.84,6366.01,0
ACC-00000001,2025-11-30,5547.11,5514.07,0
ACC-00000001,2025-12-31,6254.46,6316.54,0
ACC-00000002,2019-12-12,-21240.56,-21238.05,0
ACC-00000002,2020-01-31,-21513.89,-21503.3,0
ACC-00000002,2020-02-29,-21576.4,-21575.34,0
ACC-00000002,2020-03-31,-21518.0,-21513.45,0
ACC-00000002,2020-04-30,-21281.98,-21197.13,0
ACC-00000002,2020-05-31,-20792.96,-20802.03,0
ACC-00000002,2020-06-30,-20844.44,-20772.88,0
ACC-00000002,2020-07-31,-19544.73,-19522.54,0
ACC-00000002,2020-08-31,-19261.91,-19243.59,0
ACC-00000002,2020-09-30,-19533.01,-19439.63,0
ACC-00000002,2020-10-31,-20042.67,-19965.02,0
ACC-00000002,2020-11-30,-19996.83,-19915.07,0
ACC-00000002,2020-12-31,-20211.75,-20257.3,0
ACC-00000002,2021-01-31,-20236.5,-20233.82,0
ACC-00000002,2021-02-28,-20713.4,-20762.24,0
ACC-00000002,2021-03-31,-20103.02,-20025.74,0
ACC-00000002,2021-04-30,-20139.29,-20178.33,0
ACC-00000002,2021-05-31,-20028.64,-20034.93,0
ACC-00000002,2021-06-30,-19929.27,-19921.67,0
ACC-00000002,2021-07-31,-19226.15,-19226.02,0
ACC-00000002,2021-08-31,-19390.5,-19369.98,0
ACC-00000002,2021-09-30,-19784.35,-19733.38,0
ACC-00000002,2021-10-31,-19546.99,-19524.27,0
ACC-00000002,2021-11-30,-19689.11,-19678.33,0
ACC-00000002,2021-12-31,-20274.37,-20308.38,0
ACC-00000002,2022-01-31,-20108.93,-20106.95,0
ACC-00000002,2022-02-28,-20165.87,-20115.15,0
ACC-00000002,2022-03-31,-20379.86,-20308.04,0
ACC-00000002,2022-04-30,-19513.76,-19438.79,0
ACC-00000002,2022-05-31,-19152.7,-19086.73,0
ACC-00000002,2022-06-30,-18785.65,-18795.92,0
ACC-00000002,2022-07-31,-19685.58,-19649.13,0
ACC-00000002,2022-08-31,-20641.53,-20663.99,0
ACC-00000002,2022-09-30,-21197.64,-21163.38,0
ACC-00000002,2022-10-31,-20943.44,-20983.06,0
ACC-00000002,2022-11-30,-20125.66,-20037.01,0
ACC-00000002,2022-12-31,-20279.61,-20294.12,0
ACC-00000002,2023-01-31,-20178.08,-20175.73,0
ACC-00000002,2023-02-28,-20275.37,-20302.98,0
ACC-00000002,2023-03-31,-20665.07,-20673.31,0
ACC-00000002,2023-04-30,-21335.02,-21302.96,0
ACC-00000002,2023-05-31,-21393.93,-21395.82,0
ACC-00000002,2023-06-30,-22238.93,-22288.27,0
ACC-00000002,2023-07-31,-22535.61,-22562.52,0
ACC-00000002,2023-08-31,-21951.57,-21973.52,0
ACC-00000002,2023-09-30,-21594.0,-21629.61,0
ACC-00000002,2023-10-31,-21594.77,-21513.42,0
ACC-00000002,2023-11-30,-20498.91,-20468.92,0
ACC-00000002,2023-12-31,-20812.05,-20744.71,0
ACC-00000002,2024-01-31,-22255.3,-22302.56,0
ACC-00000002,2024-02-29,-22141.66,-22058.87,0
ACC-00000002,2024-03-31,-21919.77,-21825.83,0
ACC-00000002,2024-04-30,-21713.64,-21690.74,0
ACC-00000002,2024-05-31,-22434.56,-22403.91,0
ACC-00000002,2024-06-30,-22383.52,-22394.78,0
ACC-00000002,2024-07-31,-22258.19,-22190.11,0
ACC-00000002,2024-08-31,-21996.71,-22021.18,0
ACC-00000002,2024-09-30,-21187.5,-21207.32,0
ACC-00000002,2024-10-31,-21692.42,-21633.83,0
ACC-00000002,2024-11-30,-21570.8,-21588.91,0
ACC-00000002,2024-12-31,-21812.41,-21770.7,0
ACC-00000002,2025-01-31,-21932.11,-21914.85,0
ACC-00000002,2025-02-28,-21881.17,-21782.26,0
ACC-00000002,2025-03-31,-22457.69,-22497.35,0
ACC-00000002,2025-04-30,-22319.12,-22250.11,0
ACC-00000002,2025-05-31,-23166.43,-23213.61,0
ACC-00000002,2025-06-30,-23495.62,-23421.02,0
ACC-00000002,2025-07-31,-23282.85,-23229.02,0
ACC-00000002,2025-08-31,-22631.29,-22571.33,0
ACC-00000002,2025-09-30,-22719.4,-22655.53,0
ACC-00000002,2025-10-31,-22297.61,-22326.45,0
ACC-00000002,2025-11-30,-23039.08,-22965.95,0
ACC-00000002,2025-12-31,-22387.24,-22405.57,0
ACC-00000003,2019-03-19,-598.05,-544.71,0
ACC-00000003,2019-04-30,-329.63,-376.63,0
ACC-00000003,2019-05-31,-404.6,-387.8,0
ACC-00000003,2019-06-30,-374.46,-314.12,0
ACC-00000003,2019-07-31,-353.34,-270.09,0
ACC-00000003,2019-08-31,86.68,127.47,0
ACC-00000003,2019-09-30,499.6,559.14,0
ACC-00000003,2019-10-31,571.54,663.64,0
ACC-00000003,2019-11-30,1137.88,1192.02,0
ACC-00000003,2019-12-31,-122.76,-60.23,0
ACC-00000003,2020-01-31,-572.81,-528.24,0
ACC-00000003,2020-02-29,-303.56,-274.93,0
ACC-00000003,2020-03-31,0.62,92.48,0
ACC-00000003,2020-04-30,-468.23,-425.46,0
ACC-00000003,2020-05-31,-148.11,-167.84,0
ACC-00000003,2020-06-30,561.82,633.69,0
ACC-00000003,2020-07-31,705.92,753.54,0
ACC-00000003,2020-08-31,632.71,665.31,0
ACC-00000003,2020-09-30,1379.67,1461.61,0
ACC-00000003,2020-10-31,281.26,350.81,0
ACC-00000003,2020-11-30,230.27,187.84,0
ACC-00000003,2020-12-31,173.67,218.12,0
ACC-00000003,2021-01-31,335.88,388.7,0
ACC-00000003,2021-02-28,448.91,484.72,0
ACC-00000003,2021-03-31,321.85,321.04,0
ACC-00000003,2021-04-30,504.27,572.14,0
ACC-00000003,2021-05-31,1015.7,1114.55,0
ACC-00000003,2021-06-30,1204.7,1268.35,0
ACC-00000003,2021-07-31,924.74,1005.95,0
ACC-00000003,2021-08-31,1430.9,1476.88,0
ACC-00000003,2021-09-30,1305.02,1265.33,0
ACC-00000003,2021-10-31,1295.0,1362.87,0
ACC-00000003,2021-11-30,1041.57,1049.2,0
ACC-00000003,2021-12-31,1028.3,982.25,0
ACC-00000003,2022-01-31,1620.78,1716.83,0
ACC-00000003,2022-02-28,2713.92,2693.81,0
ACC-00000003,2022-03-31,2638.28,2632.88,0
ACC-00000003,2022-04-30,3219.24,3184.54,0
ACC-00000003,2022-05-31,3193.61,3260.66,0
ACC-00000003,2022-06-30,3187.89,3269.38,0
ACC-00000003,2022-07-31,4544.61,4512.33,0
ACC-00000003,2022-08-31,4274.63,4228.38,0
ACC-00000003,2022-09-30,3303.05,3332.19,0
ACC-00000003,2022-10-31,3691.27,3699.46,0
ACC-00000003,2022-11-30,3734.7,3770.29,0
ACC-00000003,2022-12-31,4063.29,4036.72,0
ACC-00000003,2023-01-31,4791.89,4767.66,0
ACC-00000003,2023-02-28,4611.41,4610.66,0
ACC-00000003,2023-03-31,4380.17,4441.12,0
ACC-00000003,2023-04-30,4725.31,4758.22,0
ACC-00000003,2023-05-31,4002.49,3975.6,0
ACC-00000003,2023-06-30,3499.23,3542.8,0
ACC-00000003,2023-07-31,2974.7,3042.98,0
ACC-00000003,2023-08-31,3023.04,3026.56,0
ACC-00000003,2023-09-30,3367.7,3360.39,0
ACC-00000003,2023-10-31,3506.85,3598.75,0
ACC-00000003,2023-11-30,2797.49,2774.82,0
ACC-00000003,2023-12-31,2105.55,2081.89,0
ACC-00000003,2024-01-31,1956.41,2036.42,0
ACC-00000003,2024-02-29,1516.45,1602.92,0
ACC-00000003,2024-03-31,1100.91,1108.82,0
ACC-00000003,2024-04-30,1873.43,1908.97,0
ACC-00000003,2024-05-31,1921.37,1924.06,0
ACC-00000003,2024-06-30,2263.98,2332.3,0
ACC-00000003,2024-07-31,1997.71,2017.12,0
ACC-00000003,2024-08-31,2800.43,2829.71,0
ACC-00000003,2024-09-30,2412.23,2457.03,0
ACC-00000003,2024-10-31,3681.56,3659.93,0
ACC-00000003,2024-11-30,3020.08,2978.39,0
ACC-00000003,2024-12-31,2765.74,2851.64,0
ACC-00000003,2025-01-31,1692.3,1704.4,0
ACC-00000003,2025-02-28,2620.21,2601.23,0
ACC-00000003,2025-03-31,2269.49,2350.24,0
ACC-00000003,2025-04-30,2631.95,2622.64,0
ACC-00000003,2025-05-31,2571.07,2590.9,0
ACC-00000003,2025-06-30,2719.44,2768.63,0
ACC-00000003,2025-07-31,3457.39,3449.5,0
ACC-00000003,2025-08-31,3503.23,3483.61,0
ACC-00000003,2025-09-30,2470.42,2439.37,0
ACC-00000003,2025-10-31,2693.35,2783.16,0
ACC-00000003,2025-11-30,2972.21,3010.19,0
ACC-00000003,2025-12-31,2521.91,2599.48,0
ACC-00000004,2025-04-22,4526.52,4560.69,0
ACC-00000004,2025-05-31,4652.11,4719.38,0
ACC-00000004,2025-06-30,3671.09,3727.93,0
ACC-00000004,2025-07-31,3669.76,3699.22,0
ACC-00000004,2025-08-31,3819.3,3777.21,0
ACC-00000004,2025-09-30,4176.23,4178.8,0
ACC-00000004,2025-10-31,4082.69,4147.61,0
ACC-00000004,2025-11-30,3923.36,3908.96,0
ACC-00000004,2025-12-31,2891.17,2843.03,0
ACC-00000005,2021-05-04,5851.19,5925.27,0
ACC-00000005,2021-06-30,6175.8,6163.76,0
ACC-00000005,2021-07-31,6586.92,6684.25,0
ACC-00000005,2021-08-31,6584.4,6565.15,0
ACC-00000005,2021-09-30,6378.81,6398.39,0
ACC-00000005,2021-10-31,5890.49,5961.7,0
ACC-00000005,2021-11-30,5795.28,5748.13,0
ACC-00000005,2021-12-31,6352.35,6337.84,0
ACC-00000005,2022-01-31,6369.05,6355.08,0
ACC-00000005,2022-02-28,7599.2,7568.94,0
ACC-00000005,2022-03-31,7247.95,7328.04,0
ACC-00000005,2022-04-30,6832.76,6889.3,0
ACC-00000005,2022-05-31,6641.92,6715.1,0
ACC-00000005,2022-06-30,6662.77,6695.64,0
ACC-00000005,2022-07-31,6360.04,6432.27,0
ACC-00000005,2022-08-31,6448.79,6523.6,0
ACC-00000005,2022-09-30,6486.27,6495.38,0
ACC-00000005,2022-10-31,6997.74,6958.69,0
ACC-00000005,2022-11-30,6702.42,6661.82,0
ACC-00000005,2022-12-31,6373.01,6346.16,0
ACC-00000005,2023-01-31,6431.28,6495.95,0
ACC-00000005,2023-02-28,6927.72,6918.97,0
ACC-00000005,2023-03-31,6761.65,6830.6,0
ACC-00000005,2023-04-30,6282.87,6277.47,0
ACC-00000005,2023-05-31,5763.77,5752.59,0
ACC-00000005,2023-06-30,6766.83,6794.79,0
ACC-00000005,2023-07-31,6248.38,6289.7,0
ACC-00000005,2023-08-31,6660.26,6649.28,0
ACC-00000005,2023-09-30,6075.28,6113.24,0
ACC-00000005,2023-10-31,6258.55,6328.62,0
ACC-00000005,2023-11-30,6684.65,6682.32,0
ACC-00000005,2023-12-31,7048.04,7047.28,0
ACC-00000005,2024-01-31,6167.27,6134.22,0
ACC-00000005,2024-02-29,6322.0,6341.17,0
ACC-00000005,2024-03-31,6489.03,6551.17,0
ACC-00000005,2024-04-30,7292.36,7336.04,0
ACC-00000005,2024-05-31,7099.31,7181.5,0
ACC-00000005,2024-06-30,7186.87,7233.46,0
ACC-00000005,2024-07-31,6420.66,6374.88,0
ACC-00000005,2024-08-31,7172.41,7257.63,0
