transaction_id,account_id,transaction_date,transaction_time,amount,transaction_type,merchant_category,merchant_name,channel
TXN-0000000001,ACC-00000001,2025-02-13,15:25:17,-64.31,purchase,utilities,Holt-Torres,online
TXN-0000000002,ACC-00000001,2024-08-17,01:16:27,427.56,transfer,,,online
TXN-0000000003,ACC-00000001,2025-04-07,07:49:07,-5.11,purchase,fuel,Tran-Cooper,mobile
TXN-0000000004,ACC-00000001,2024-12-17,23:30:46,72.44,transfer,,,mobile
TXN-0000000005,ACC-00000001,2025-05-19,20:41:49,41.63,transfer,,,atm
TXN-0000000006,ACC-00000001,2025-01-31,16:08:04,-12.68,purchase,entertainment,Warner-Nelson,online
TXN-0000000007,ACC-00000001,2025-01-31,01:17:57,-32.58,withdrawal,,,atm
TXN-0000000008,ACC-00000001,2025-06-03,13:10:54,-14.37,purchase,healthcare,Griffith LLC,branch
TXN-0000000009,ACC-00000002,2021-12-12,09:48:53,-1.15,interest,,,online
TXN-0000000010,ACC-00000002,2024-04-16,02:50:12,-5.53,purchase,grocery,"Tapia, Vaughn and Lee",mobile
TXN-0000000011,ACC-00000002,2021-06-15,19:42:25,-4.0,interest,,,mobile
TXN-0000000012,ACC-00000002,2023-11-30,10:27:11,76.09,payment,,,atm
TXN-0000000013,ACC-00000002,2021-10-19,15:47:13,26.24,payment,,,online
TXN-0000000014,ACC-00000002,2025-07-10,14:09:35,-37.72,purchase,grocery,"Bray, Warren and Campbell",atm
TXN-0000000015,ACC-00000002,2021-04-20,01:03:05,-10.21,purchase,travel,Phillips LLC,online
TXN-0000000016,ACC-00000002,2021-09-26,21:38:38,124.91,payment,,,mobile
TXN-0000000017,ACC-00000002,2024-10-22,01:05:01,-9.03,purchase,travel,Erickson and Sons,mobile
TXN-0000000018,ACC-00000002,2025-08-15,07:10:20,-28.18,fee,,,online
TXN-0000000019,ACC-00000002,2021-01-04,16:38:57,-25.56,purchase,grocery,Tran Ltd,branch
TXN-0000000020,ACC-00000003,2025-12-18,10:38:53,-21.76,purchase,fuel,"Oneill, Henry and Salas",online
