account_id,customer_id,account_type,open_date,credit_limit,status,branch_code,fico_score,credit_history_months,num_inquiries_6mo,num_delinquencies_24mo,credit_utilization_pct,num_active_credit_lines,annual_income,employment_status,employment_tenure_months,debt_to_income_ratio,age,zip_code,region,account_tenure_months,default_probability,defaulted,default_date,feat_avg_balance,feat_balance_std,feat_min_balance,feat_max_balance,feat_avg_ledger_balance,feat_total_overdrafts,feat_avg_monthly_overdrafts,feat_balance_trend,feat_num_transactions,feat_avg_transaction_amount,feat_transaction_amount_std,feat_total_transaction_volume,feat_num_debits,feat_total_debits,feat_num_credits,feat_total_credits,feat_credit_to_debit_ratio,feat_transactions_per_month,feat_spending_entertainment,feat_spending_fuel,feat_spending_grocery,feat_spending_healthcare,feat_spending_restaurant,feat_spending_retail,feat_spending_travel,feat_spending_utilities,feat_discretionary_spending,feat_essential_spending,feat_discretionary_ratio,feat_channel_atm,feat_channel_branch,feat_channel_mobile,feat_channel_online,feat_channel_phone,feat_digital_channel_pct,feat_num_txn_3mo,feat_avg_balance_3mo,feat_num_txn_6mo,feat_avg_balance_6mo,feat_num_txn_12mo,feat_avg_balance_12mo,feat_txn_trend,feat_balance_trend_3mo_vs_12mo,feat_days_since_last_txn
ACC-00000001,CUST-1000001,savings,2019-06-12,0,active,BR-136,717.0,59,2,0,40.7,3,,student,0,18.0,32,80055,B,55,0.0385,0,,8780.504727272728,1461.4688420505743,6653.22,12073.72,8812.308545454545,0,0.0,3082.593397435896,15.0,-95.48466666666667,193.37772913825071,-1432.27,12.0,-1597.15,3.0,164.88,0.10323388535829445,0.2727272727272727,138.78,0.0,42.11,644.72,339.76,0.0,20.65,0.0,499.18999999999994,686.83,0.420895094517799,3.0,0.0,4.0,1.0,0.0,0.625,2.0,11694.956666666665,2.0,11447.551666666666,5.0,10592.406666666668,0.3333333333333333,0.1040788893217225,52.0
ACC-00000002,CUST-1000002,checking,2021-04-11,0,active,BR-120,614.0,83,0,0,70.2,7,103800.0,employed,69,6.5,32,90042,A,33,0.0521,0,,5365.442424242425,2701.1825878145833,2196.06,10898.18,5407.443636363636,0,0.0,5071.206333333333,8.0,-64.795,136.8472388155076,-518.36,8.0,-518.36,0.0,0.0,0.0,0.24242424242424243,8.74,26.68,0.0,2.53,62.32,0.0,0.0,0.0,71.06,2.53,0.9656203288490284,0.0,1.0,2.0,2.0,0.0,0.8,1.0,9975.63,2.0,10012.768333333333,2.0,8452.853333333334,0.3333333333333333,0.1801281151474907,36.0
ACC-00000003,CUST-1000003,chekcing,2019-09-28,0,closed,BR-129,532.0,85,2,0,23.8,7,40480.0,student,0,23.2,61,80014,B,51,0.0857,1,2024-05-13,3932.5446153846156,1401.5033241521944,1303.13,5964.87,3952.4225,0,0.0,-732.3170068027212,4.0,26.052500000000002,76.49713213578664,104.21000000000001,3.0,-36.56,1.0,140.77,3.850382932166302,0.0784313725490196,0.0,0.0,23.58,0.0,0.0,12.98,0.0,0.0,12.98,23.58,0.35503282275711157,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3242.476666666667,0.0,3402.3566666666666,2.0,2805.0833333333335,-0.3333333333333333,0.155873251566537,205.0
ACC-00000004,CUST-1000004,savings,2022-06-19,0,active,BR-168,762.0,77,2,0,50.8,5,59650.0,retired,12,4.0,80,70073,C,18,0.0341,0,,3926.4268421052634,561.7211858609473,3015.75,5142.71,3947.7989473684206,0,0.0,-148.29916666666668,8.0,-181.5975,180.94651409818792,-1452.78,7.0,-1473.15,1.0,20.37,0.013827512473271561,0.4444444444444444,0.0,433.04,0.0,0.0,452.75,7.39,0.0,138.52,460.14,138.52,0.7686165770220158,1.0,1.0,2.0,1.0,0.0,0.6,2.0,3801.543333333333,4.0,3680.98,6.0,3616.885,0.2,0.05104040988957163,74.0
ACC-00000005,CUST-1000005,credit_card,2021-04-08,40575,active,BR-140,803.0,22,1,0,10.3,3,50966.0,self_employed,57,5.3,37,90037,A,33,0.0095,0,,-3098.4500000000003,975.1199048065831,-4782.62,-1241.89,-3070.597272727273,0,0.0,1860.1476666666667,10.0,10.221,73.24017165008104,102.21,8.0,-177.9,2.0,280.11,1.5745362563237775,0.30303030303030304,0.0,0.0,0.0,1.54,37.31,0.0,26.09,104.50999999999999,63.400000000000006,106.05,0.3741516671584539,4.0,0.0,1.0,2.0,0.0,0.42857142857142855,3.0,-1407.4066666666668,3.0,-1534.8883333333333,6.0,-2159.9333333333334,0.6,0.34824150058616643,48.0
ACC-00000006,CUST-1000006,savings,2019-12-01,0,active,BR-183,770.0,18,1,0,45.9,6,73756.0,unemployed,0,10.6,60,80090,B,49,0.0219,0,,8831.895714285714,667.4088499282137,7659.69,10595.18,8857.11918367347,0,0.0,1051.146884057971,14.0,-52.67785714285714,117.04037470223497,-737.49,13.0,-755.4200000000001,1.0,17.93,0.02373514071642265,0.2857142857142857,61.76,42.22,69.03999999999999,75.7,0.0,0.0,0.0,10.97,61.76,155.71,0.28399319446360416,3.0,0.0,1.0,4.0,1.0,0.5555555555555556,2.0,9818.686666666666,2.0,9972.606666666667,3.0,9599.240833333333,0.7142857142857143,0.0228583675288007,15.0
ACC-00000007,CUST-1000007,loan,2019-04-29,10833,active,BR-103,746.0,60,4,0,7.2,9,47389.0,employed,36,30.2,34,90073,A,56,0.0243,0,,-16038.662456140351,1511.4483726725746,-18713.52,-12645.96,-16008.040877192981,0,0.0,280.1962962962971,8.0,13.078749999999996,93.14766716463856,104.62999999999997,6.0,-188.87,2.0,293.5,1.553978927304495,0.14285714285714285,2.01,0.0,0.0,28.82,148.82,0.0,9.22,0.0,160.04999999999998,28.82,0.8474082702387886,0.0,1.0,2.0,2.0,1.0,0.6666666666666666,0.0,-15773.213333333333,1.0,-15488.843333333332,1.0,-15758.457499999999,-0.2,-0.0009363160713707641,115.0
ACC-00000008,CUST-1000008,savings,2022-03-23,0,closed,BR-132,752.0,58,1,0,41.3,5,101264.0,unemployed,0,13.6,73,90007,A,21,0.0214,0,,6950.0368181818185,447.56954544875305,6090.17,7638.15,6968.355,0,0.0,752.7626315789457,5.0,-89.766,115.05488898782181,-448.83000000000004,5.0,-448.83000000000004,0.0,0.0,0.0,0.23809523809523808,0.0,1.65,0.0,258.90000000000003,0.0,0.0,14.6,0.0,14.6,258.90000000000003,0.053382084095063974,1.0,1.0,2.0,0.0,0.0,0.5,1.0,7600.149999999999,1.0,7476.818333333333,3.0,7101.778333333333,0.14285714285714285,0.07016573561472532,40.0
ACC-00000009,CUST-1000009,savings,2023-07-24,0,active,BR-162,696.0,27,6,0,56.9,6,15000.0,employed,70,21.6,30,70011,C,5,0.0721,0,,4712.18,384.74054239188257,4093.83,5197.3,4741.543333333333,0,0.0,-88.65333333333365,12.0,37.865833333333335,108.92922426622906,454.39,7.0,-173.19,5.0,627.58,3.623650326231307,2.4,0.0,3.74,0.0,129.62,30.52,0.0,0.0,0.0,30.52,129.62,0.19058323966529284,2.0,0.0,1.0,2.0,0.0,0.6,5.0,4667.8533333333335,12.0,4712.18,12.0,4712.18,0.5,-0.009404832123251567,29.0
ACC-00000010,CUST-1000010,checking,2023-10-14,0,closed,BR-125,624.0,71,5,0,7.9,4,61851.0,self_employed,29,11.9,34,70094,C,2,0.0824,0,,799.1966666666667,187.72135129849596,593.93,962.15,797.39,0,0.0,0.0,1.0,-7.57,0.0,-7.57,1.0,-7.57,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,799.1966666666667,1.0,799.1966666666667,1.0,799.1966666666667,0.6,0.0,51.0
