account_id,customer_id,account_type,open_date,credit_limit,status,branch_code,fico_score,credit_history_months,num_inquiries_6mo,num_delinquencies_24mo,credit_utilization_pct,num_active_credit_lines,annual_income,employment_status,employment_tenure_months,debt_to_income_ratio,age,zip_code,region,account_tenure_months,default_probability,defaulted,default_date
ACC-00000001,CUST-1000001,checking,2019-12-12,0,active,BR-134,684.0,64,2,0,12.2,1,,employed,6,19.9,35,80085,B,49,0.0443,0,
ACC-00000002,CUST-1000002,loan,2019-03-19,15031,active,BR-113,541.0,59,1,0,33.7,3,50189.0,employed,74,1.3,38,70052,C,58,0.1074,0,
ACC-00000003,CUST-1000003,credit_card,2021-05-04,15536,closed,BR-179,,42,1,0,20.5,3,51545.0,employed,72,37.7,67,90069,A,32,0.0247,0,
ACC-00000004,CUST-1000004,savings,2021-01-30,0,active,BR-194,560.0,33,3,0,46.7,1,39761.0,self_employed,50,14.7,45,70008,C,35,0.1172,0,
ACC-00000005,CUST-1000005,checking,2020-11-24,0,closed,BR-176,593.0,23,2,0,5.0,3,92925.0,self_employed,16,7.8,42,90075,A,37,0.0465,0,
ACC-00000006,CUST-1000006,checking,2020-03-09,0,active,BR-172,670.0,65,0,0,9.4,4,29185.0,self_employed,17,11.3,35,80041,B,46,0.0441,0,
ACC-00000007,CUST-1000007,checking,2019-11-15,0,active,BR-155,,55,0,0,4.1,4,52533.0,employed,6,9.7,26,80038,B,50,0.0378,0,
ACC-00000008,CUST-1000008,credit_card,2023-08-22,1446,closed,,609.0,57,0,1,37.6,7,142929.0,employed,54,10.9,67,90068,A,4,0.0739,0,
ACC-00000009,CUST-1000009,savings,2019-09-28,0,active,BR-156,667.0,98,1,0,3.7,9,59088.0,employed,10,154.3654651009349,65,90039,A,51,0.0327,0,
ACC-00000010,CUST-1000010,credit_card,2022-08-03,37683,active,BR-149,747.0,119,1,0,71.0,1,30397.0,unemployed,0,22.6,46,90058,A,17,0.0263,0,
ACC-00000011,CUST-1000011,checking,2019-04-09,0,active,BR-106,758.0,10,3,0,52.2,3,,unemployed,0,13.6,63,90043,A,57,0.0209,0,
ACC-00000012,CUST-1000012,loan,2019-04-03,49555,dormant,,790.0,65,1,2,5.2,5,210916.0,retired,22,5.3,80,80064,B,57,0.0288,0,
ACC-00000013,CUST-1000013,credit_card,2019-10-19,18618,suspended,BR-131,842.0,38,1,0,19.9,1,50188.0,employed,18,13.4,56,70073,C,51,0.0054,0,
ACC-00000014,CUST-1000014,checking,2020-11-10,0,active,BR-119,754.0,71,2,0,32.0,3,78919.0,employed,38,10.3,58,80010,B,38,0.025,0,
ACC-00000015,CUST-1000015,checking,2020-12-23,0,active,BR-147,672.0,32,2,0,2.9,5,49173.0,employed,75,5.3,45,80090,B,36,0.0395,0,
ACC-00000016,CUST-1000016,checking,2023-04-20,0,suspended,BR-141,758.0,144,1,1,34.6,7,57830.0,self_employed,42,8.9,37,90086,A,8,0.0292,0,
ACC-00000017,CUST-1000017,chekcing,03/24/2019,0,active,,727.0,73,3,1,31.8,4,46772.0,employed,27,17.5,32,90083,A,58,0.042,1,2024-04-07
ACC-00000018,CUST-1000018,savings,2023-10-10,0,active,BR-157,730.0,47,0,0,14.9,6,26613.0,self_employed,54,43.7,29,80004,B,2,0.0405,0,
ACC-00000019,CUST-1000019,savings,2020-09-09,0,suspended,BR-168,704.0,102,2,0,29.5,4,61351.0,employed,83,17.5,44,70076,C,40,0.0591,0,
ACC-00000020,CUST-1000020,checking,2023-08-21,0,active,BR-189,617.0,29,3,0,48.5,3,23534.0,employed,15,3.3,80,70073,C,4,0.0857,0,
ACC-00000021,CUST-1000021,savings,07/27/2022,0,active,,607.0,75,3,0,30.0,5,40641.0,employed,34,20.5,29,90048,A,17,0.0558,0,
ACC-00000022,CUST-1000022,checking,2020-11-15,0,active,BR-188,682.0,46,2,0,32.9,4,154356.0,employed,13,12.7,59,80050,B,38,0.0436,0,
ACC-00000023,CUST-1000023,checking,10/27/2022,0,suspended,BR-111,701.0,49,2,0,27.7,4,46949.0,employed,77,12.9,61,80035,B,14,0.0384,0,
ACC-00000024,CUST-1000024,checking,2021-05-14,0,dormant,BR-140,635.0,130,3,0,21.1,4,28171.0,employed,43,29.2,46,80015,B,32,0.0614,0,
ACC-00000025,CUST-1000025,savings,2019-01-21,0,suspended,,723.0,175,1,1,25.2,5,56643.0,employed,30,10.0,68,80006,B,60,0.0478,0,
