account_id,balance_date,available_balance,ledger_balance,overdraft_count
ACC-00000001,2019-12-12,8383.85,8466.62,0
ACC-00000001,2020-01-31,8723.43,8730.98,0
ACC-00000001,2020-02-29,9222.14,9199.1,0
ACC-00000001,2020-03-31,9263.92,9328.93,0
ACC-00000001,2020-04-30,9212.17,9296.33,0
ACC-00000001,2020-05-31,9309.56,9367.63,0
ACC-00000001,2020-06-30,9000.51,9012.4,0
ACC-00000001,2020-07-31,8819.5,8834.74,0
ACC-00000001,2020-08-31,10471.27,10464.86,0
ACC-00000001,2020-09-30,10730.12,10805.72,0
ACC-00000001,2020-10-31,10947.1,10908.32,0
ACC-00000001,2020-11-30,10453.67,10433.48,0
ACC-00000001,2020-12-31,11712.82,11702.01,0
ACC-00000001,2021-01-31,11670.21,11658.66,0
ACC-00000001,2021-02-28,11097.9,11079.78,0
ACC-00000001,2021-03-31,10373.56,10412.01,0
ACC-00000001,2021-04-30,10496.36,10469.69,0
ACC-00000001,2021-05-31,9977.35,10041.86,0
ACC-00000001,2021-06-30,10519.63,10589.1,0
ACC-00000001,2021-07-31,10479.35,10447.76,0
ACC-00000001,2021-08-31,11168.58,11232.23,0
ACC-00000001,2021-09-30,10593.36,10645.5,0
ACC-00000001,2021-10-31,10837.95,10813.05,0
ACC-00000001,2021-11-30,10801.5,10892.09,0
ACC-00000001,2021-12-31,10806.32,10765.92,0
ACC-00000001,2022-01-31,11225.41,11273.14,0
ACC-00000001,2022-02-28,11736.09,11691.95,0
ACC-00000001,2022-03-31,12310.37,12355.27,0
ACC-00000001,2022-04-30,13102.0,13132.74,0
ACC-00000001,2022-05-31,12529.51,12547.96,0
ACC-00000001,2022-06-30,12164.38,12172.12,0
ACC-00000001,2022-07-31,11604.76,11673.51,0
ACC-00000001,2022-08-31,12062.84,12159.82,0
ACC-00000001,2022-09-30,12122.3,12098.0,0
ACC-00000001,2022-10-31,13080.48,13177.8,0
ACC-00000001,2022-11-30,13329.14,13345.51,0
ACC-00000001,2022-12-31,12502.57,12482.46,0
ACC-00000001,2023-01-31,12317.2,12331.67,0
ACC-00000001,2023-02-28,12453.42,12435.12,0
ACC-00000001,2023-03-31,13011.13,13094.75,0
ACC-00000001,2023-04-30,13087.78,13117.35,0
ACC-00000001,2023-05-31,12778.02,12831.34,0
ACC-00000001,2023-06-30,12091.24,12084.42,0
ACC-00000001,2023-07-31,11853.23,11821.46,0
ACC-00000001,2023-08-31,11481.23,11472.73,0
ACC-00000001,2023-09-30,11352.12,11428.69,0
ACC-00000001,2023-10-31,11495.96,11595.34,0
ACC-00000001,2023-11-30,10983.84,10976.74,0
ACC-00000001,2023-12-31,9909.68,9877.56,0
ACC-00000002,2019-03-19,-27069.72,-27103.32,0
ACC-00000002,2019-04-30,-26614.77,-26573.76,0
ACC-00000002,2019-05-31,-25915.05,-25954.63,0
ACC-00000002,2019-06-30,-25401.43,-25346.72,0
ACC-00000002,2019-07-31,-24904.08,-24929.31,0
ACC-00000002,2019-08-31,-24762.7,-24803.38,0
ACC-00000002,2019-09-30,-24283.52,-24291.78,0
ACC-00000002,2019-10-31,-24439.2,-24422.95,0
ACC-00000002,2019-11-30,-23657.87,-23618.76,0
ACC-00000002,2019-12-31,-23016.66,-23057.57,0
ACC-00000002,2020-01-31,-22684.02,-22718.37,0
ACC-00000002,2020-02-29,-22370.04,-22309.09,0
ACC-00000002,2020-03-31,-22529.66,-22475.53,0
ACC-00000002,2020-04-30,-22528.39,-22509.26,0
ACC-00000002,2020-05-31,-22597.8,-22534.14,0
ACC-00000002,2020-06-30,-22677.75,-22585.96,0
ACC-00000002,2020-07-31,-22844.45,-22846.49,0
ACC-00000002,2020-08-31,-23418.16,-23380.14,0
ACC-00000002,2020-09-30,-23247.44,-23172.76,0
ACC-00000002,2020-10-31,-23905.8,-23859.64,0
ACC-00000002,2020-11-30,-23598.04,-23579.01,0
ACC-00000002,2020-12-31,-23975.92,-24008.99,0
ACC-00000002,2021-01-31,-24548.73,-24472.21,0
ACC-00000002,2021-02-28,-24931.71,-24947.67,0
ACC-00000002,2021-03-31,-23846.15,-23887.7,0
ACC-00000002,2021-04-30,-23761.29,-23790.15,0
ACC-00000002,2021-05-31,-24072.8,-24017.5,0
ACC-00000002,2021-06-30,-23499.9,-23436.01,0
ACC-00000002,2021-07-31,-22975.79,-22951.54,0
ACC-00000002,2021-08-31,-22060.66,-22051.72,0
ACC-00000002,2021-09-30,-22630.23,-22554.76,0
ACC-00000002,2021-10-31,-22365.85,-22292.48,0
ACC-00000002,2021-11-30,-22606.72,-22654.03,0
ACC-00000002,2021-12-31,-22448.16,-22391.93,0
ACC-00000002,2022-01-31,-22205.6,-22154.69,0
ACC-00000002,2022-02-28,-22415.95,-22409.79,0
ACC-00000002,2022-03-31,-22005.9,-21999.06,0
ACC-00000002,2022-04-30,-23876.21,-23899.3,0
ACC-00000002,2022-05-31,-23528.5,-23437.81,0
ACC-00000002,2022-06-30,-24522.61,-24552.75,0
ACC-00000002,2022-07-31,-25163.53,-25203.07,0
ACC-00000002,2022-08-31,-25282.74,-25242.53,0
ACC-00000002,2022-09-30,-25130.58,-25097.55,0
ACC-00000002,2022-10-31,-25404.36,-25419.49,0
ACC-00000002,2022-11-30,-25077.05,-25033.1,0
ACC-00000002,2022-12-31,-24594.15,-24612.07,0
ACC-00000002,2023-01-31,-24414.61,-24384.47,0
ACC-00000002,2023-02-28,-23501.94,-23534.01,0
ACC-00000002,2023-03-31,-23523.22,-23519.37,0
ACC-00000002,2023-04-30,-24344.48,-24287.54,0
ACC-00000002,2023-05-31,-24759.54,-24700.84,0
ACC-00000002,2023-06-30,-24853.92,-24876.3,0
ACC-00000002,2023-07-31,-24850.58,-24817.46,0
ACC-00000002,2023-08-31,-25847.76,-25853.52,0
ACC-00000002,2023-09-30,-26219.19,-26245.18,0
ACC-00000002,2023-10-31,-26252.87,-26213.01,0
ACC-00000002,2023-11-30,-26903.85,-26831.16,0
ACC-00000002,2023-12-31,-26591.79,-26582.91,0
ACC-00000003,2021-05-04,-3637.78,-3586.53,0
ACC-00000003,2021-06-30,-3140.05,-3063.54,0
ACC-00000003,2021-07-31,-2902.81,-2823.76,0
ACC-00000003,2021-08-31,-3059.03,-3099.97,0
ACC-00000003,2021-09-30,-3556.31,-3473.38,0
ACC-00000003,2021-10-31,-3593.33,-3607.39,0
ACC-00000003,2021-11-30,-3304.22,-3269.91,0
ACC-00000003,2021-12-31,-3389.39,-3300.33,0
ACC-00000003,2022-01-31,-3211.36,-3118.07,0
ACC-00000003,2022-02-28,-3225.52,-3272.51,0
ACC-00000003,2022-03-31,-2941.5,-2869.36,0
