transaction_id,account_id,transaction_date,transaction_time,amount,transaction_type,merchant_category,merchant_name,channel
TXN-0000000001,ACC-00000001,2023-04-10,09:22:22,-72.15,purchase,travel,"Cohen, Mitchell and Perez",mobile
TXN-0000000002,ACC-00000001,2022-02-19,10:03:48,-15.53,withdrawal,,,online
TXN-0000000003,ACC-00000001,2022-10-28,02:54:15,-142.86,purchase,grocery,Hodges Ltd,mobile
TXN-0000000004,ACC-00000001,2022-10-27,16:33:53,80.98,deposit,,,mobile
TXN-0000000005,ACC-00000001,2022-12-24,02:40:51,-270.28,purchase,utilities,Benson Inc,branch
TXN-0000000006,ACC-00000001,2022-07-22,09:01:35,-90.49,withdrawal,,,online
TXN-0000000007,ACC-00000001,2023-10-13,06:04:41,-133.85,withdrawal,,,branch
TXN-0000000008,ACC-00000001,2022-10-18,18:40:35,-8.03,purchase,healthcare,Carter LLC,mobile
TXN-0000000009,ACC-00000001,2022-03-11,05:14:21,-39.58,purchase,fuel,Sanchez Group,online
TXN-0000000010,ACC-00000001,2020-10-30,05:45:45,129.73,transfer,,,mobile
TXN-0000000011,ACC-00000001,2022-05-28,04:16:51,593.18,transfer,,,branch
TXN-0000000012,ACC-00000001,2022-02-25,08:07:06,-1.05,withdrawal,,,online
TXN-0000000013,ACC-00000001,2022-01-28,23:11:47,8.2,deposit,,,online
TXN-0000000014,ACC-00000002,2021-05-08,08:56:21,-21.31,fee,,,mobile
TXN-0000000015,ACC-00000002,2023-03-16,18:27:16,46.54,payment,,,online
TXN-0000000016,ACC-00000002,2023-06-23,10:46:48,-11.57,purchase,travel,"Pitts, Harvey and Allen",online
TXN-0000000017,ACC-00000002,2022-05-31,05:02:49,606.46,payment,,,mobile
TXN-0000000018,ACC-00000002,2021-06-14,01:48:00,136.94,payment,,,atm
TXN-0000000019,ACC-00000002,2019-10-14,22:38:21,498.18,payment,,,mobile
TXN-0000000020,ACC-00000002,2021-01-20,04:56:02,10.82,payment,,,online
TXN-0000000021,ACC-00000002,2023-11-29,06:19:28,-11.85,purchase,travel,Stevens-Estrada,mobile
TXN-0000000022,ACC-00000002,2019-06-21,22:22:34,87.05,payment,,,atm
TXN-0000000023,ACC-00000002,2020-03-20,06:04:41,-2.31,purchase,utilities,Byrd-Moore,mobile
TXN-0000000024,ACC-00000003,2023-09-05,01:55:16,825.27,payment,,,online
TXN-0000000025,ACC-00000003,2023-04-18,17:10:25,-341.72,purchase,restaurant,"Evans, Hayden and Vaughn",online
TXN-0000000026,ACC-00000003,2023-07-23,04:50:10,-3.36,purchase,entertainment,Gonzalez-Cruz,mobile
TXN-0000000027,ACC-00000004,2023-05-04,21:09:19,-3.02,withdrawal,,,online
TXN-0000000028,ACC-00000004,2023-03-03,00:40:30,-95.05,purchase,entertainment,James LLC,online
TXN-0000000029,ACC-00000004,2021-07-20,09:22:49,-40.87,purchase,fuel,Haney-Phillips,mobile
TXN-0000000030,ACC-00000004,2023-09-10,15:19:58,-25.04,purchase,fuel,Hill-Knight,online
TXN-0000000031,ACC-00000004,2021-08-05,09:27:41,-28.75,purchase,travel,"Beltran, Lozano and Mcgee",online
TXN-0000000032,ACC-00000004,2022-04-11,03:30:59,152.89,deposit,,,mobile
TXN-0000000033,ACC-00000004,2021-09-13,09:17:39,-197.12,purchase,healthcare,Lawson LLC,online
TXN-0000000034,ACC-00000004,2022-11-19,14:08:56,-34.75,purchase,restaurant,"Lee, King and Campos",phone
TXN-0000000035,ACC-00000004,2023-12-25,13:20:28,-4.8,purchase,retail,"Becker, Taylor and Davis",phone
TXN-0000000036,ACC-00000004,2022-04-10,16:12:08,-45.2,purchase,entertainment,"Williams, Kramer and Johnson",online
TXN-0000000037,ACC-00000004,2021-10-19,09:14:56,-0.88,purchase,entertainment,"Anderson, Browning and Murphy",mobile
TXN-0000000038,ACC-00000004,2022-01-18,10:31:05,-30.49,purchase,entertainment,Gonzalez PLC,mobile
TXN-0000000039,ACC-00000004,2023-01-15,09:25:33,-6.34,purchase,healthcare,"Shaw, Nelson and Martin",atm
TXN-0000000040,ACC-00000004,2022-10-03,09:07:34,-27.05,fee,,,online
TXN-0000000041,ACC-00000005,2023-07-05,18:43:54,-28.68,withdrawal,,,atm
TXN-0000000042,ACC-00000005,2022-08-03,19:59:47,-3.39,withdrawal,,,atm
TXN-0000000043,ACC-00000005,2022-12-31,19:31:10,-4.8,fee,,,mobile
TXN-0000000044,ACC-00000005,2023-11-06,07:23:58,-99.0,withdrawal,,,phone
TXN-0000000045,ACC-00000005,2023-03-04,12:49:50,-1.45,purchase,entertainment,Mcdonald Inc,atm
TXN-0000000046,ACC-00000006,2023-04-11,10:59:10,-1.56,purchase,grocery,Dalton Ltd,mobile
TXN-0000000047,ACC-00000006,2021-05-14,09:19:09,-32.58,purchase,travel,Coffey-Ballard,online
TXN-0000000048,ACC-00000006,2022-01-15,03:41:14,-13.89,purchase,retail,Gibbs Inc,mobile
TXN-0000000049,ACC-00000006,2021-01-28,01:22:23,-7.38,purchase,healthcare,"Martinez, Richardson and Curry",online
TXN-0000000050,ACC-00000006,2023-03-20,07:40:45,234.66,deposit,,,branch
TXN-0000000051,ACC-00000006,2021-01-23,22:58:03,-24.61,purchase,healthcare,Carson-Bentley,online
TXN-0000000052,ACC-00000006,2021-12-24,03:41:04,45.08,deposit,,,mobile
TXN-0000000053,ACC-00000006,2021-05-14,16:11:59,-11.37,withdrawal,,,mobile
TXN-0000000054,ACC-00000006,2023-01-20,20:32:50,-23.38,purchase,entertainment,Johnson-Henson,branch
TXN-0000000055,ACC-00000006,2020-10-15,15:21:57,-21.57,fee,,,online
TXN-0000000056,ACC-00000006,2023-04-20,16:12:31,-18.06,withdrawal,,,phone
TXN-0000000057,ACC-00000006,2023-06-12,10:22:08,-0.84,purchase,entertainment,Holland Ltd,mobile
TXN-0000000058,ACC-00000006,2023-03-23,08:49:19,67.09,transfer,,,mobile
TXN-0000000059,ACC-00000006,2021-11-21,23:27:31,-1.22,withdrawal,,,mobile
