account_id,customer_id,account_type,open_date,credit_limit,status,branch_code,fico_score,credit_history_months,num_inquiries_6mo,num_delinquencies_24mo,credit_utilization_pct,num_active_credit_lines,annual_income,employment_status,employment_tenure_months,debt_to_income_ratio,age,zip_code,region,account_tenure_months,default_probability,defaulted,default_date
ACC-00000001,CUST-1000001,savings,2019-06-12,0,active,BR-136,717.0,59,2,0,40.7,3,,student,0,18.0,32,80055,B,55,0.0385,0,
ACC-00000002,CUST-1000002,checking,2021-04-11,0,active,BR-120,614.0,83,0,0,70.2,7,103800.0,employed,69,6.5,32,90042,A,33,0.0521,0,
ACC-00000003,CUST-1000003,chekcing,2019-09-28,0,closed,BR-129,532.0,85,2,0,23.8,7,40480.0,student,0,23.2,61,80014,B,51,0.0857,1,2024-05-13
ACC-00000004,CUST-1000004,savings,2022-06-19,0,active,BR-168,762.0,77,2,0,50.8,5,59650.0,retired,12,4.0,80,70073,C,18,0.0341,0,
ACC-00000005,CUST-1000005,credit_card,2021-04-08,40575,active,BR-140,803.0,22,1,0,10.3,3,50966.0,self_employed,57,5.3,37,90037,A,33,0.0095,0,
ACC-00000006,CUST-1000006,savings,2019-12-01,0,active,BR-183,770.0,18,1,0,45.9,6,73756.0,unemployed,0,10.6,60,80090,B,49,0.0219,0,
ACC-00000007,CUST-1000007,loan,2019-04-29,10833,active,BR-103,746.0,60,4,0,7.2,9,47389.0,employed,36,30.2,34,90073,A,56,0.0243,0,
ACC-00000008,CUST-1000008,savings,2022-03-23,0,closed,BR-132,752.0,58,1,0,41.3,5,101264.0,unemployed,0,13.6,73,90007,A,21,0.0214,0,
ACC-00000009,CUST-1000009,savings,2023-07-24,0,active,BR-162,696.0,27,6,0,56.9,6,15000.0,employed,70,21.6,30,70011,C,5,0.0721,0,
ACC-00000010,CUST-1000010,checking,2023-10-14,0,closed,BR-125,624.0,71,5,0,7.9,4,61851.0,self_employed,29,11.9,34,70094,C,2,0.0824,0,
ACC-00000011,CUST-1000011,checking,2021-10-29,0,active,BR-101,766.0,65,2,2,32.6,6,48529.0,retired,29,22.4,67,90091,A,26,0.0391,0,
ACC-00000012,CUST-1000012,credit_card,2021-11-24,26938,active,BR-146,660.0,52,2,0,22.2,5,115719.0,employed,38,7.6,64,80079,B,25,0.0452,0,
ACC-00000013,CUST-1000013,savings,2019-06-11,0,active,BR-114,616.0,45,0,0,5.7,3,21851.0,self_employed,6,20.4,39,80022,B,55,0.0593,0,
ACC-00000014,CUST-1000014,checking,2020-05-11,0,closed,BR-101,572.0,81,2,0,19.1,8,40420.0,employed,9,25.8,41,90087,A,44,0.0606,0,
ACC-00000015,CUST-1000015,checking,2020-02-24,0,active,BR-109,638.0,231,2,0,41.2,4,129175.0,self_employed,9,1.9,73,90031,A,46,0.0401,0,
ACC-00000016,CUST-1000016,credit_card,2021-11-13,47078,active,BR-159,594.0,72,1,1,47.2,4,45580.0,employed,7,8.7,59,80074,B,25,0.0978,0,
ACC-00000017,CUST-1000017,checking,10/09/2023,0,active,,611.0,87,1,0,8.1,4,15000.0,employed,18,54.2,68,90054,A,2,0.0621,0,
ACC-00000018,CUST-1000018,checking,2021-11-03,0,active,BR-182,620.0,106,5,0,6.9,4,20229.0,employed,24,4.7,77,70081,C,26,0.0759,1,2024-07-15
ACC-00000019,CUST-1000019,savngs,2021-01-31,0,active,BR-155,618.0,23,1,0,31.5,6,15000.0,retired,83,71.5,80,80066,B,35,0.0897,0,
ACC-00000020,CUST-1000020,savings,2020-05-23,0,active,BR-197,,37,3,0,50.3,5,71747.0,retired,47,6.0,52,70051,C,43,0.0823,0,
ACC-00000021,CUST-1000021,savings,2019-01-06,0,dormant,BR-119,749.0,55,6,0,38.0,5,94855.0,retired,55,4.9,80,90025,A,60,0.0202,0,
ACC-00000022,CUST-1000022,credit_card,2022-09-17,16063,suspended,BR-146,588.0,105,1,2,44.1,5,68612.0,employed,18,2.3,44,90031,A,15,0.0996,0,
ACC-00000023,CUST-1000023,credit_card,2019-09-30,41625,active,BR-113,,85,3,0,22.3,7,39126.0,employed,44,19.3,27,90031,A,51,0.0488,0,
ACC-00000024,CUST-1000024,savings,2022-03-19,0,active,BR-133,774.0,72,0,0,30.3,2,84392.0,employed,122,14.4,69,70056,C,21,0.031,0,
ACC-00000025,CUST-1000025,credit_card,2019-08-06,47381,dormant,BR-174,711.0,92,1,0,45.6,7,57160.0,retired,102,8.2,80,80099,B,53,0.0359,0,
ACC-00000026,CUST-1000026,checking,2019-01-21,0,active,BR-150,250.0,49,2,0,22.2,8,34263.0,self_employed,33,6.6,44,80030,B,60,0.0602,0,
ACC-00000027,CUST-1000027,checking,2021-09-07,0,active,BR-191,,227,1,0,20.9,4,34252.0,employed,26,7.5,63,90023,A,28,0.025,0,
ACC-00000028,CUST-1000028,checking,2022-10-24,0,closed,BR-183,586.0,162,1,0,41.8,6,65300.0,employed,24,6.5,69,90098,A,14,0.0519,0,
ACC-00000029,CUST-1000029,checking,2019-11-14,0,closed,BR-162,664.0,21,1,0,9.4,6,16542.0,employed,43,61.8,37,80046,B,50,0.0651,0,
ACC-00000030,CUST-1000030,savings,2019-05-17,0,active,BR-161,638.0,30,0,0,40.3,4,70122.0,retired,57,12.7,33,90032,A,56,0.0458,0,
ACC-00000031,CUST-1000031,checking,2019-10-16,0,active,BR-178,633.0,73,1,0,40.7,2,,employed,10,13.8,47,80076,B,51,0.0572,0,
ACC-00000032,CUST-1000032,savings,2020-03-17,0,active,BR-108,825.0,37,1,0,35.7,2,56289.0,employed,48,10.1,43,80099,B,46,0.0078,0,
ACC-00000033,CUST-1000033,savings,2020-01-28,0,active,BR-126,741.0,66,0,0,25.3,2,69114.0,employed,14,8.1,25,70006,C,47,0.0435,0,
ACC-00000034,CUST-1000034,savings,2019-03-07,0,closed,BR-159,586.0,19,5,0,36.0,8,18980.0,employed,16,22.5,80,80089,B,58,0.0735,0,
ACC-00000035,CUST-1000035,savings,2021-06-25,0,active,BR-121,705.0,52,0,1,45.3,5,28046.0,student,0,35.1,36,90008,A,30,0.0571,0,
ACC-00000036,CUST-1000036,checking,2022-08-30,0,active,,670.0,91,0,0,23.5,3,161182.0,employed,20,4.3,36,80031,B,16,0.0426,0,
ACC-00000037,CUST-1000037,savings,11/17/2023,0,active,BR-128,668.0,71,2,1,20.5,5,55198.0,employed,8,5.0,44,80054,B,1,0.0632,0,
ACC-00000038,CUST-1000038,credit_card,2023-01-21,26197,active,BR-104,629.0,21,0,0,20.0,5,17165.0,employed,96,4.8,22,70060,C,11,0.0828,0,
ACC-00000039,CUST-1000039,loan,2021-04-04,9882,closed,BR-136,696.0,42,2,0,6.8,8,40560.0,employed,15,11.0,34,90072,A,33,0.03,0,
ACC-00000040,CUST-1000040,savings,2022-12-29,0,active,BR-150,686.0,42,3,0,42.5,4,42347.0,self_employed,15,16.3,36,70037,C,12,0.0686,0,
ACC-00000041,CUST-1000041,savings,04/25/2019,0,dormant,BR-155,707.0,53,2,1,7.3,5,82548.0,employed,42,12.1,66,70021,C,57,0.0773,0,
ACC-00000042,CUST-1000042,checking,2021-08-05,0,active,BR-144,787.0,105,1,1,12.3,4,26772.0,unemployed,0,46.6,65,90053,A,29,0.0255,0,
ACC-00000043,CUST-1000043,checking,2021-12-03,0,active,BR-192,530.0,32,2,1,15.8,3,68201.0,employed,46,9.3,59,70098,C,25,0.1392,0,
ACC-00000044,CUST-1000044,savings,2023-06-09,0,active,BR-133,634.0,53,0,0,5.7,4,140154.0,employed,13,8.8,66,80008,B,6,0.0493,0,
ACC-00000045,CUST-1000045,credit_card,2023-02-09,35133,active,BR-157,598.0,11,1,1,43.5,5,85253.0,employed,28,13.4,50,90032,A,10,0.0796,0,
ACC-00000046,CUST-1000046,checking,2020-10-04,0,active,BR-123,,19,1,0,29.4,6,89423.0,self_employed,53,13.4,60,70081,C,39,0.0999,0,
ACC-00000047,CUST-1000047,savings,2023-06-26,0,active,BR-184,707.0,51,1,0,11.1,5,42133.0,unemployed,0,18.4,47,80084,B,6,0.0367,0,
ACC-00000048,CUST-1000048,loan,2023-10-21,45678,active,BR-104,567.0,51,0,0,29.0,2,54372.0,self_employed,38,6.8,61,80056,B,2,0.0673,0,
ACC-00000049,CUST-1000049,savings,2021-09-06,0,active,BR-186,677.0,22,1,0,37.2,4,53835.0,student,0,18.0,58,90028,A,28,0.0377,0,
ACC-00000050,CUST-1000050,savings,2019-02-08,0,active,BR-163,618.0,59,4,1,57.9,4,24638.0,employed,10,10.2,80,90089,A,59,0.0741,0,
ACC-00000051,CUST-1000051,checking,2022-05-22,0,active,BR-134,603.0,114,1,0,9.7,3,,self_employed,66,10.8,36,90090,A,19,0.0472,0,
ACC-00000052,CUST-1000052,credit_card,2023-05-13,2635,active,BR-180,631.0,37,1,1,56.0,4,39397.0,employed,19,22.8,66,90069,A,7,0.0777,0,
ACC-00000053,CUST-1000053,savings,09/11/2022,0,active,BR-123,635.0,63,2,0,31.7,6,235538.0,employed,54,4.7,40,90065,A,15,0.0407,0,
ACC-00000054,CUST-1000054,savings,2023-08-01,0,active,BR-199,687.0,3,2,1,48.7,5,45957.0,retired,3,13.8,80,80086,B,5,0.0665,0,
ACC-00000055,CUST-1000055,checking,2023-02-19,0,active,BR-108,775.0,28,0,0,28.5,3,54109.0,self_employed,35,12.7,41,90028,A,10,0.016,0,
ACC-00000056,CUST-1000056,checking,2023-06-06,0,active,,650.0,42,0,0,53.1,4,39753.0,self_employed,19,20.7,37,80021,B,6,0.0588,0,
ACC-00000057,CUST-1000057,savings,2022-07-27,0,active,BR-135,850.0,49,0,0,38.8,9,71285.0,employed,54,5.2,71,70087,C,17,0.0025,0,
ACC-00000058,CUST-1000058,savings,2022-03-09,0,suspended,BR-104,564.0,70,0,0,25.0,4,147040.0,employed,22,7.6,57,80011,B,22,0.0677,0,
ACC-00000059,CUST-1000059,credit_card,2023-05-04,38188,active,BR-166,736.0,78,2,0,5.1,4,42608.0,unemployed,0,9.8,53,80068,B,8,0.027,0,
ACC-00000060,CUST-1000060,savings,2019-04-09,0,active,BR-144,573.0,98,0,1,25.3,5,39684.0,employed,41,24.5,60,80051,B,57,0.1141,0,
ACC-00000061,CUST-1000061,savings,2020-07-17,0,active,BR-194,587.0,37,3,0,23.7,3,50138.0,employed,44,20.1,80,90091,A,42,0.0555,0,
ACC-00000062,CUST-1000062,savings,2019-09-14,0,active,BR-116,728.0,78,0,0,10.5,6,94232.0,employed,18,4.5,58,90056,A,52,0.0222,1,2024-11-20
ACC-00000063,CUST-1000063,savings,2023-02-21,0,dormant,BR-180,562.0,87,3,0,35.4,2,46011.0,employed,25,9.2,66,70016,C,10,0.1068,0,
ACC-00000064,CUST-1000064,savings,2021-03-24,0,active,,704.0,78,3,0,47.3,4,48559.0,self_employed,15,11.7,24,80038,B,33,0.0421,0,
ACC-00000065,CUST-1000065,credit_card,2020-06-12,17880,active,,719.0,35,1,0,20.3,3,27105.0,employed,40,32.2,22,90006,A,43,0.0337,0,
ACC-00000066,CUST-1000066,checking,2021-11-06,0,active,BR-179,559.0,51,2,1,10.6,4,36494.0,unemployed,0,26.4,72,80009,B,26,0.1165,1,2024-05-28
ACC-00000067,CUST-1000067,credit_card,2021-11-12,48261,active,BR-108,758.0,18,2,1,40.4,5,65731.0,self_employed,79,21.0,63,70083,C,26,0.0604,0,
ACC-00000068,CUST-1000068,checking,2023-09-18,0,active,BR-110,738.0,109,2,0,8.8,6,44184.0,employed,53,2.9,46,80049,B,3,0.0251,0,
ACC-00000069,CUST-1000069,checking,04/30/2022,0,closed,BR-187,540.0,65,4,0,25.3,7,32258.0,employed,10,29.8,41,80010,B,20,0.0885,1,2024-10-19
ACC-00000070,CUST-1000070,savings,08/16/2019,0,active,BR-112,750.0,30,1,0,48.2,4,,employed,21,11.6,58,70067,C,53,0.041,0,
ACC-00000071,CUST-1000071,checking,2022-11-20,0,active,BR-185,708.0,45,1,0,15.5,5,15000.0,self_employed,108,63.7,41,90008,A,13,0.0408,0,
ACC-00000072,CUST-1000072,credit_card,2022-04-19,34614,active,BR-132,,62,2,0,13.6,5,138290.0,employed,19,10.1,27,90016,A,20,0.03,0,
ACC-00000073,CUST-1000073,savings,2023-11-16,0,active,BR-163,673.0,51,2,0,29.3,4,228121.0,employed,53,9.4,40,90045,A,1,0.035,0,
ACC-00000074,CUST-1000074,credit_card,2021-11-10,9205,active,,850.0,24,0,0,47.4,4,42959.0,employed,41,8.8,40,90021,A,26,0.0014,0,
ACC-00000075,CUST-1000075,checking,2019-02-20,0,active,BR-198,747.0,58,1,0,54.9,6,23189.0,employed,61,45.5,40,80062,B,59,0.0373,0,
ACC-00000076,CUST-1000076,savings,2020-08-10,0,active,,771.0,103,3,0,31.4,5,43413.0,employed,12,23.4,38,90039,A,41,0.0187,0,
ACC-00000077,CUST-1000077,savings,2023-12-27,0,active,BR-199,589.0,63,0,0,14.0,5,53243.0,employed,26,5.1,61,80075,B,0,0.0587,0,
ACC-00000078,CUST-1000078,checking,2019-10-01,0,active,BR-141,639.0,15,2,0,19.9,5,31054.0,retired,47,3.3,47,90036,A,51,0.0382,0,
ACC-00000079,CUST-1000079,checking,02/03/2022,0,closed,BR-158,572.0,53,1,1,33.8,4,88077.0,self_employed,6,23.1,44,80064,B,23,0.1158,0,
ACC-00000080,CUST-1000080,savings,2019-02-09,0,active,BR-183,703.0,125,2,0,28.7,3,30461.0,employed,11,44.1,50,90067,A,59,0.0385,0,
ACC-00000081,CUST-1000081,checking,2021-12-29,0,suspended,,738.0,43,2,0,31.4,6,49963.0,employed,26,6.3,59,70044,C,24,0.0415,0,
ACC-00000082,CUST-1000082,savings,2020-12-12,0,active,BR-112,793.0,57,3,0,20.2,8,18741.0,self_employed,24,28.9,68,80026,B,37,0.0175,0,
ACC-00000083,CUST-1000083,savings,06/14/2022,0,active,BR-176,664.0,52,2,0,36.1,5,60841.0,unemployed,0,6.0,62,80024,B,18,0.0453,0,
ACC-00000084,CUST-1000084,checking,2023-07-11,0,active,BR-171,798.0,36,3,0,40.4,8,42686.0,employed,36,22.6,55,80003,B,5,0.0162,0,
ACC-00000085,CUST-1000085,loan,2023-04-06,30350,active,BR-111,805.0,58,1,0,19.7,6,72121.0,employed,18,5.1,80,70053,C,9,0.0173,0,
ACC-00000086,CUST-1000086,credit_card,2019-07-05,46660,active,BR-154,589.0,49,2,0,41.5,4,47806.0,employed,33,28.7,45,80063,B,54,0.0775,0,
ACC-00000087,CUST-1000087,checking,2021-06-12,0,active,,503.0,109,1,1,17.1,7,32156.0,employed,14,19.2,56,80064,B,31,0.133,0,
ACC-00000088,CUST-1000088,checking,2023-03-18,0,active,,602.0,58,1,1,52.2,1,45046.0,self_employed,44,8.0,40,90051,A,9,0.0764,0,
ACC-00000089,CUST-1000089,checking,2020-12-26,0,active,BR-160,573.0,26,1,1,9.0,6,33445.0,employed,28,18.4,47,90085,A,36,0.0828,1,2024-02-01
ACC-00000090,CUST-1000090,checking,2023-08-18,0,active,BR-172,647.0,96,2,0,18.1,4,20649.0,employed,63,23.1,80,90037,A,4,0.0436,0,
ACC-00000091,CUST-1000091,credit_card,2023-02-12,48829,active,,686.0,37,2,0,21.5,5,144651.0,employed,61,10.9,71,80083,B,10,0.0403,0,
ACC-00000092,CUST-1000092,loan,2020-07-05,31745,active,BR-135,850.0,66,3,0,49.5,3,61360.0,student,0,10.6,58,80031,B,42,0.0018,0,
ACC-00000093,CUST-1000093,checking,2020-04-22,0,active,BR-152,593.0,41,0,0,18.2,6,26898.0,self_employed,20,19.6,80,80025,B,44,0.0666,0,
ACC-00000094,CUST-1000094,credit_card,2023-07-25,3708,active,BR-142,626.0,60,2,0,24.1,6,53128.0,employed,27,8.7,68,80035,B,5,0.0538,0,
ACC-00000095,CUST-1000095,savings,2022-10-13,0,active,BR-113,825.0,50,0,0,40.3,6,,employed,43,9.5,67,90082,A,14,0.0063,0,
ACC-00000096,CUST-1000096,savings,2022-03-22,0,active,BR-113,611.0,52,1,0,26.9,7,36660.0,employed,21,3.4,50,90062,A,21,0.044,0,
ACC-00000097,CUST-1000097,checking,2022-12-04,0,active,BR-175,565.0,40,2,0,44.7,6,25252.0,employed,6,14.6,39,90046,A,13,0.061,0,
ACC-00000098,CUST-1000098,checking,2019-05-18,0,active,BR-102,640.0,88,1,0,8.1,5,19543.0,retired,22,17.2,68,80030,B,56,0.0521,0,
ACC-00000099,CUST-1000099,checking,2019-02-01,0,suspended,BR-101,743.0,20,1,0,53.4,7,62106.0,self_employed,30,26.1,29,70083,C,59,0.0527,0,
ACC-00000100,CUST-1000100,checking,2020-02-23,0,active,BR-132,676.0,115,1,1,7.6,6,66738.0,student,0,20.1,59,80048,B,46,0.0667,0,
ACC-00000101,CUST-1000101,savings,2022-11-18,0,active,BR-138,746.0,62,0,0,15.3,7,21250.0,employed,63,26.4,52,70058,C,13,0.044,0,
ACC-00000102,CUST-1000102,savings,2020-08-23,0,active,BR-141,736.0,83,0,0,34.7,5,36692.0,self_employed,54,6.4,41,90079,A,40,0.0227,0,
ACC-00000103,CUST-1000103,checking,2019-03-07,0,active,BR-176,850.0,53,2,1,15.8,4,40736.0,unemployed,0,18.1,78,90046,A,58,0.0021,0,
ACC-00000104,CUST-1000104,checking,2021-03-07,0,active,BR-174,608.0,45,1,0,7.1,5,28204.0,employed,57,23.8,79,80090,B,34,0.0629,0,
ACC-00000105,CUST-1000105,checking,12/29/2021,0,active,BR-104,805.0,45,1,0,20.2,5,82751.0,employed,13,5.1,41,80065,B,24,0.0116,0,
ACC-00000106,CUST-1000106,savings,2021-04-24,0,active,BR-118,690.0,71,0,0,20.1,6,43448.0,self_employed,60,8.9,40,90006,A,32,0.0308,0,
ACC-00000107,CUST-1000107,credit_card,2022-09-11,38338,active,,664.0,114,1,0,59.6,11,77497.0,self_employed,54,6.1,78,90057,A,15,0.0386,0,
ACC-00000108,CUST-1000108,savings,2022-07-30,0,suspended,BR-155,675.0,129,0,0,30.6,4,52824.0,employed,63,28.9,53,90049,A,17,0.041,0,
ACC-00000109,CUST-1000109,credit_card,2019-01-02,11728,dormant,BR-123,772.0,5,0,1,32.8,6,25877.0,employed,32,37.0,71,70033,C,60,0.0575,0,
ACC-00000110,CUST-1000110,checking,2019-12-04,0,closed,BR-130,662.0,42,1,1,21.5,5,70671.0,employed,40,7.3,80,80039,B,49,0.0668,0,
ACC-00000111,CUST-1000111,checking,2019-07-14,0,active,BR-111,706.0,16,4,1,18.9,2,67612.0,employed,56,22.8,52,80099,B,54,0.0587,0,
ACC-00000112,CUST-1000112,checking,2023-05-05,0,active,BR-156,715.0,87,0,0,22.7,6,69378.0,employed,41,5.8,80,90052,A,8,0.0257,0,
